"","rowname","vertex","community","degree","in_degree","out_degree","closeness","betweeness","avg_path_length","density"
"1","Workforce development",1,1,4,0,4,0.00341296928327645,0,4.36713206683452,0.0235640648011782
"2","Poor treatment of PWUD",7,1,4,2,2,0.0034965034965035,0.0446198453608247,4.36713206683452,0.0235640648011782
"3","Occurrence of stigmatising language and behaviour",9,1,4,2,2,0.00343642611683849,0.0211912943871707,4.36713206683452,0.0235640648011782
"4","Prevalence of stigmatisingnorms around drugs",16,1,18,9,9,0.00454545454545455,0.143197205858288,4.36713206683452,0.0235640648011782
"5","Peer workers perceived as lower grade/status by staff",19,1,2,1,1,0.00318471337579618,0.0206875920471281,4.36713206683452,0.0235640648011782
"6","Negative public perceptionsof PWUD",20,1,3,1,2,0.00319488817891374,0.00816151202749141,4.36713206683452,0.0235640648011782
"7","Pressure on services",58,1,3,1,2,0.00293255131964809,0.0040807560137457,4.36713206683452,0.0235640648011782
"8","Quality of treatment planning",62,1,6,3,3,0.0032258064516129,0.00729128313696613,4.36713206683452,0.0235640648011782
"9","Value placed on peer workers",64,1,3,2,1,0.00321543408360129,0.0110226435935199,4.36713206683452,0.0235640648011782
"10","Representation of lived/living experience of substance use in organisations",65,1,3,1,2,0.0033003300330033,0.00604954180985109,4.36713206683452,0.0235640648011782
"11","Peer worker pay differential",66,1,2,1,1,0.00246913580246914,0.015855117820324,4.36713206683452,0.0235640648011782
"12","Stigmatising reporting in the media",67,1,2,1,1,0.00317460317460317,0.00332903780068729,4.36713206683452,0.0235640648011782
"13","Level of localhealth need",68,1,2,1,1,0.003125,0.00354381443298969,4.36713206683452,0.0235640648011782
"14","Quality of patient/servicerelationship",86,1,4,3,1,0.00373134328358209,0.000311980104183712,4.36713206683452,0.0235640648011782
"15","Service Quality",96,1,6,5,1,0.00374531835205993,0.0183264553673703,4.36713206683452,0.0235640648011782
"16","Amount of Public discourse on drug issues",97,1,1,1,0,0.00316455696202532,0,4.36713206683452,0.0235640648011782
"17","Collaboration between services",2,2,5,1,4,0.00303030303030303,0.000584584492445317,4.36713206683452,0.0235640648011782
"18","Internalised stigma",3,2,4,1,3,0.00320512820512821,0.0131103235967927,4.36713206683452,0.0235640648011782
"19","Positive self  presentation of PWUD",4,2,2,1,1,0.00255102040816327,0.0089848224513173,4.36713206683452,0.0235640648011782
"20","Self worth",26,2,3,1,2,0.00324675324675325,0.00182560137457045,4.36713206683452,0.0235640648011782
