"","eip"
"1",0.52
"2",0.43
"3",0.28
"4",0.15
"5",0.18
"6",0.11
"7",0.34
"8",0.16
"9",0.13
"10",0.4
"11",0.65
"12",0.92
"13",0.86
"14",0.31
"15",0.19
"16",0.16
"17",0.18
"18",0.51
"19",0.23
"20",0.28
"21",0.24
"22",0.14
"23",0.68
"24",0.47
"25",0.08
"26",0.37
"27",0.72
"28",0.78
"29",0.19
"30",0.13
"31",0.47
"32",0.07
"33",0.23
"34",0.38
"35",0.63
"36",0.26
"37",0.15
"38",0.26
"39",0.45
"40",0.25
"41",0.3
"42",0.6
"43",0.59
"44",0.26
"45",0.11
"46",0.21
"47",0.2
"48",0.17
"49",0.02
"50",0.03
"51",0.22
"52",0.29
"53",0.15
"54",0.16
"55",0.18
"56",0.58
"57",0.39
"58",0.42
"59",0.31
"60",0.72
"61",0.65
"62",0.18
"63",0.36
"64",0.07
"65",0.32
"66",0.3
"67",0.46
"68",0.35
"69",0.21
"70",0.06
"71",0.06
"72",0.13
"73",0.23
"74",0.07
"75",0.1
"76",0.33
"77",0.05
"78",0.19
"79",0.18
"80",0.19
"81",0.25
"82",0.09
"83",0.52
"84",0.07
"85",0.09
"86",0.57
"87",0.18
"88",0.13
"89",0.1
"90",0.52
"91",0.12
"92",0.23
"93",0.1
"94",0.14
"95",1
"96",0.46
"97",0.2
"98",0.2
"99",0.1
"100",0.21
"101",0.39
"102",0.01
"103",0.12
"104",0.07
"105",0.09
"106",0.46
"107",0.21
"108",0.17
"109",0.16
"110",0.17
"111",0.11
"112",0.42
"113",0.4
"114",0.31
"115",0.19
"116",0.16
"117",0.33
"118",0.05
"119",0.14
"120",0.17
"121",0.32
"122",0.44
"123",0.06
"124",0.06
"125",0.62
"126",0.43
"127",0.26
"128",0.44
"129",0.57
"130",0.1
"131",0.09
"132",0.09
"133",0.09
"134",0.1
"135",0.06
"136",0.98
"137",0.07
"138",0.76
"139",0.13
"140",0.25
"141",0.36
"142",0.12
"143",0.18
"144",0.18
"145",0.27
"146",0.21
"147",0.49
"148",0.22
"149",0.16
"150",0.2
"151",0.28
"152",1
"153",0.7
"154",0.23
"155",0.22
"156",0.31
"157",0.34
"158",0.11
"159",0.16
"160",0.56
"161",0.24
"162",0.05
"163",0.31
"164",0.35
"165",0.29
"166",0.33
"167",0.1
"168",0.32
"169",0.99
"170",0.49
"171",0.59
"172",0.19
"173",0.2
"174",0.22
"175",0.39
"176",0.03
"177",0.25
"178",0.09
"179",0.17
"180",0.08
"181",0.28
"182",0.31
"183",0.4
"184",0.29
"185",0.35
"186",0.45
"187",1
"188",0.98
"189",1
"190",1
"191",0.12
"192",0.38
"193",0.01
"194",0.69
"195",0.05
"196",0.12
"197",0.67
"198",0.2
"199",0.17
"200",0.1
"201",0.03
"202",0.15
"203",0.23
"204",0.21
"205",0.36
"206",0.99
"207",0.3
"208",0.65
"209",0.28
"210",1
"211",0.1
"212",0.15
"213",0.25
"214",0.11
"215",0.08
"216",0.38
"217",0.3
"218",0.11
"219",0.51
"220",0.12
"221",0.03
"222",0.49
"223",0.06
"224",0.49
"225",0.14
"226",0.99
"227",0.43
"228",0.81
"229",0.9
"230",1
"231",0.55
"232",0.12
"233",0.16
"234",0.09
"235",0.08
"236",0.27
"237",0.61
"238",0.19
"239",0.14
"240",0.08
"241",0.16
"242",0.06
"243",0.33
"244",0.13
"245",0.18
"246",0.11
"247",0.96
"248",0.53
"249",0.95
"250",0.53
"251",1
"252",0.6
"253",0.69
"254",0.18
"255",0.48
"256",0.24
"257",0.16
"258",0.26
"259",0.06
"260",0.21
"261",0.72
"262",0.3
"263",0.31
"264",0.07
"265",0.09
"266",0.43
"267",0.09
"268",0.18
"269",0.34
"270",0.94
"271",0.46
"272",0.2
"273",0.18
"274",0.17
"275",0.2
"276",0.2
"277",0.12
"278",0.17
"279",0.13
"280",0.12
"281",0.03
"282",0.34
"283",0.16
"284",0.2
"285",0.21
"286",0.15
"287",0.46
"288",0.13
"289",0.42
"290",0.12
"291",0.12
"292",0.23
"293",0.39
"294",0.25
"295",0.28
"296",0.17
"297",0.2
"298",0.21
"299",0.3
"300",0.48
"301",0.29
"302",0.19
"303",0.13
"304",0.71
"305",0.45
"306",0.13
"307",0.23
"308",0.42
"309",0.24
"310",0.13
"311",0.16
"312",0.36
"313",0.07
"314",0.22
"315",0.7
"316",0.53
"317",0.08
"318",0.43
"319",0.28
"320",0.2
"321",0.16
"322",0.04
"323",0.31
"324",0.65
"325",0.57
"326",0.11
"327",0.38
"328",0.12
"329",0.2
"330",0.04
"331",0.25
"332",0.24
"333",0.3
"334",0.31
"335",0.31
"336",0.08
"337",0.14
"338",0.14
"339",0.14
"340",0.4
"341",0.32
"342",0.07
"343",0.16
"344",0.3
"345",0.19
"346",0.09
"347",0.06
"348",0.66
"349",0.47
"350",0.46
"351",0.55
"352",0.36
"353",0.13
"354",0.18
"355",0.14
"356",0.08
"357",0.19
"358",0.24
"359",0.43
"360",0.24
"361",0.13
"362",0.11
"363",0.93
"364",0.25
"365",0.42
"366",0.21
"367",0.25
"368",0.12
"369",0.29
"370",0.07
"371",0.15
"372",0.17
"373",0.08
"374",0.09
"375",0.31
"376",0.37
"377",0.29
"378",0.35
"379",1
"380",0.53
"381",0.49
"382",0.46
"383",0.15
"384",0.58
"385",0.27
"386",0.19
"387",0.2
"388",0.18
"389",0.35
"390",0.4
"391",0.18
"392",0.3
"393",0.33
"394",0.43
"395",0.27
"396",0.2
"397",0.71
"398",0.36
"399",0.35
"400",0.16
"401",0.2
"402",0.94
"403",0.15
"404",0.43
"405",0.2
"406",0.49
"407",0.31
"408",0.3
"409",0.19
"410",0.53
"411",0.19
"412",0.31
"413",0.33
"414",0.36
"415",0.16
"416",0.69
"417",0.38
"418",0.15
"419",0.27
"420",0.11
"421",0.14
"422",0.07
"423",0.07
"424",0.3
"425",0.18
"426",0.3
"427",0.3
"428",0.12
"429",0.45
"430",0.18
"431",0.36
"432",0.47
"433",0.16
"434",0.17
"435",0.24
"436",0.14
"437",0.1
"438",0.15
"439",0.54
"440",0.07
"441",0.09
"442",0.16
"443",0.45
"444",0.21
"445",0.14
"446",0.23
"447",0.24
"448",0.12
"449",0.11
"450",0.3
"451",0.16
"452",0.45
"453",0.45
"454",0.26
"455",0.5
"456",0.4
"457",0.23
"458",0.31
"459",0.82
"460",0.62
"461",0.46
"462",0.44
"463",0.22
"464",0.09
"465",0.23
"466",0.23
"467",0.16
"468",0.15
"469",0.9
"470",0.09
"471",0.25
"472",0.4
"473",0.41
"474",0.16
"475",0.14
"476",0.12
"477",0.19
"478",0.41
"479",0.14
"480",0.88
"481",0.22
"482",0.26
"483",0.15
"484",0.22
"485",0.23
"486",0.67
"487",0.37
"488",0.3
"489",0.21
"490",0.39
"491",0.87
"492",0.58
"493",0.73
"494",0.33
"495",0.32
"496",1
"497",0.24
"498",0.44
"499",0.71
"500",0.09
"501",0.36
"502",0.39
"503",0.79
"504",0.56
"505",0.09
"506",0.69
"507",0.23
"508",0.24
"509",0.75
"510",0.21
"511",0.07
"512",0.27
"513",0.19
"514",0.12
"515",0.39
"516",0.14
"517",0.43
"518",0.11
"519",0.13
"520",0.19
"521",0.4
"522",0.72
"523",0.27
"524",0.37
"525",0.49
"526",1
"527",0.38
"528",0.27
"529",0.31
"530",0.22
"531",0.12
"532",0.12
"533",0.26
"534",0.2
"535",0.28
"536",0.2
"537",0.13
"538",0.34
"539",0.17
"540",1
"541",0.24
"542",0.35
"543",0.13
"544",0.21
"545",0.37
"546",0.26
"547",0.27
"548",0.14
"549",0.11
"550",0.29
"551",0.19
"552",0.29
"553",0.18
"554",0.16
"555",0.62
"556",0.34
"557",0.16
"558",0.25
"559",0.63
"560",0.18
"561",0.52
"562",0.06
"563",0.02
"564",0.12
"565",0.13
"566",0.07
"567",0.12
"568",0.11
"569",0.43
"570",0.14
"571",0.53
"572",0.07
"573",0.25
"574",0.79
"575",0.02
"576",0.37
"577",0.52
"578",0.14
"579",0.59
"580",0.18
"581",0.24
"582",0.26
"583",0.09
"584",0.07
"585",0.17
"586",0.07
"587",0.29
"588",0.4
"589",0.5
"590",0.14
"591",0.11
"592",0.22
"593",0.32
"594",0.15
"595",0.28
"596",0.47
"597",0.2
"598",0.45
"599",0.13
"600",0.05
"601",0.15
"602",0.11
"603",0.37
"604",0.4
"605",0.21
"606",0.1
"607",0.24
"608",0.5
"609",0.25
"610",0.09
"611",0.29
"612",0.11
"613",0.22
"614",0.15
"615",0.13
"616",0.64
"617",0.16
"618",0.08
"619",0.22
"620",0.7
"621",0.3
"622",0.19
"623",0.15
"624",0.7
"625",0.28
"626",0.91
"627",0.2
"628",0.18
"629",0.32
"630",0.24
"631",0.19
"632",0.15
"633",0.18
"634",0.13
"635",0.33
"636",0.36
"637",0.92
"638",0.44
"639",0.23
"640",0.12
"641",0.21
"642",0.19
"643",0.15
"644",0.05
"645",0.26
"646",0.35
"647",0.44
"648",0.63
"649",0.21
"650",0.18
"651",0.36
"652",0.46
"653",0.19
"654",0.25
"655",0.74
"656",0.27
"657",0.96
"658",0.24
"659",0.28
"660",0.29
"661",0.42
"662",0.42
"663",0.23
"664",0.25
"665",0.09
"666",0.16
"667",0.38
"668",0.14
"669",0.09
"670",0.32
"671",0.17
"672",0.13
"673",0.32
"674",0.34
"675",0.24
"676",0.17
"677",0.12
"678",0.2
"679",0.16
"680",0.16
"681",0.26
"682",0.16
"683",0.32
"684",0.08
"685",0.38
"686",0.1
"687",0.29
"688",0.33
"689",0.09
"690",0.84
"691",0.2
"692",0.19
"693",0.66
"694",0.45
"695",0.13
"696",0.12
"697",0.64
"698",0.36
"699",0.28
"700",0.35
"701",0.22
"702",0.45
"703",0.54
"704",0.19
"705",0.2
"706",0.39
"707",0.59
"708",0.27
"709",0.22
"710",0.49
"711",0.82
"712",0.3
"713",0.17
"714",0.04
"715",0.69
"716",0.23
"717",0.12
"718",0.46
"719",0.23
"720",0.23
"721",0.34
"722",0.3
"723",0.38
"724",0.64
"725",0.19
"726",0.16
"727",0.41
"728",0.3
"729",0.13
"730",0.08
"731",0.3
"732",0.55
"733",0.23
"734",0.45
"735",0.38
"736",0.33
"737",0.19
"738",0.46
"739",0.25
"740",0.16
"741",0.5
"742",0.8
"743",0.2
"744",0.16
"745",0.47
"746",0.68
"747",0.38
"748",0.23
"749",0.19
"750",0.1
"751",0.23
"752",0.11
"753",0.2
"754",0.08
"755",0.15
"756",0.26
"757",0.12
"758",0.17
"759",0.44
"760",0.34
"761",0.25
"762",0.32
"763",0.36
"764",0.13
"765",0.71
"766",0.11
"767",0.28
"768",0.2
"769",0.57
"770",0.22
"771",0.32
"772",0.5
"773",0.25
"774",0.3
"775",0.34
"776",0.17
"777",0.19
"778",0.08
"779",0.43
"780",0.85
"781",0.58
"782",0.14
"783",0.17
"784",0.24
"785",0.39
"786",0.6
"787",0.28
"788",0.52
"789",0.15
"790",0.18
"791",0.15
"792",0.43
"793",0.13
"794",0.17
"795",0.17
"796",0.38
"797",0.24
"798",0.27
"799",0.18
"800",0.14
"801",0.36
"802",0.16
"803",0.11
"804",0.55
"805",0.12
"806",0.18
"807",0.08
"808",0.12
"809",0.13
"810",0.39
"811",0.48
"812",0.47
"813",0.16
"814",0.38
"815",0.34
"816",0.58
"817",0.33
"818",0.2
"819",0.18
"820",0.22
"821",0.37
"822",0.26
"823",0.16
"824",0.2
"825",0.23
"826",0.27
"827",0.45
"828",0.16
"829",0.16
"830",0.47
"831",0.12
"832",0.36
"833",0.32
"834",0.14
"835",0.2
"836",0.32
"837",0.31
"838",0.29
"839",0.45
"840",0.77
"841",0.2
"842",0.49
"843",0.46
"844",0.21
"845",0.11
"846",0.24
"847",0.6
"848",0.4
"849",0.75
"850",0.23
"851",0.58
"852",0.46
"853",0.62
"854",0.27
"855",0.12
"856",0.37
"857",0.46
"858",0.31
"859",0.16
"860",0.55
"861",0.38
"862",0.55
"863",0.74
"864",0.28
"865",0.19
"866",0.16
"867",0.52
"868",0.51
"869",0.46
"870",0.08
"871",0.2
"872",0.16
"873",0.21
"874",0.25
"875",0.3
"876",0.07
"877",0.36
"878",0.46
"879",0.84
"880",0.95
"881",0.87
"882",0.25
"883",0.91
"884",0.96
"885",0.94
"886",0.84
"887",0.34
"888",0.36
"889",0.3
"890",0.36
"891",0.2
"892",0.77
"893",0.25
"894",0.23
"895",0.14
"896",0.26
"897",0.24
"898",0.19
"899",0.16
"900",0.45
"901",0.53
"902",0.12
"903",0.13
"904",0.22
"905",0.87
"906",0.41
"907",0.37
"908",0.09
"909",0.67
"910",0.21
"911",0.46
"912",0.32
"913",0.2
