"","eip"
"1",0.14
"2",0.5
"3",0.12
"4",0.18
"5",0.49
"6",0.17
"7",0.27
"8",0.83
"9",0.18
"10",0.17
"11",0.72
"12",0.17
"13",0.64
"14",0.24
"15",0.77
"16",0.31
"17",0.4
"18",0.31
"19",0.16
"20",0.11
"21",0.22
"22",0.23
"23",0.11
"24",0.37
"25",0.08
"26",0.3
"27",0.2
"28",0.27
"29",0.21
"30",0.19
"31",0.17
"32",0.15
"33",0.18
"34",0.19
"35",0.21
"36",0.46
"37",0.2
"38",0.18
"39",0.14
"40",0.24
"41",0.19
"42",0.37
"43",0.19
"44",0.04
"45",0.98
"46",0.22
"47",0.27
"48",0.19
"49",0.03
"50",0.2
"51",0.2
"52",0.22
"53",0.19
"54",0.96
"55",0.95
"56",0.51
"57",0.27
"58",0.41
"59",0.18
"60",0.19
"61",0.23
"62",0.3
"63",0.22
"64",1
"65",0.97
"66",0.96
"67",0.24
"68",0.45
"69",0.41
"70",0.11
"71",0.44
"72",0.27
"73",0.35
"74",0.27
"75",0.72
"76",0.6
"77",0.89
"78",0.99
"79",0.22
"80",0.37
"81",0.23
"82",0.17
"83",0.23
"84",0.6
"85",0.21
"86",0.41
"87",0.17
"88",0.19
"89",0.22
"90",0.17
"91",0.24
"92",0.47
"93",0.43
"94",0.3
"95",0.21
"96",0.36
"97",0.17
"98",0.26
"99",0.67
"100",0.27
"101",0.19
"102",0.42
"103",0.2
"104",0.12
"105",0.39
"106",0.25
"107",0.15
"108",0.3
"109",0.85
"110",0.22
"111",0.47
"112",0.46
"113",0.26
"114",0.2
"115",0.31
"116",0.25
"117",0.34
"118",0.32
"119",0.3
"120",0.36
"121",0.2
"122",0.17
"123",0.37
"124",0.2
"125",0.27
"126",0.27
"127",0.24
"128",0.98
"129",0.27
"130",0.16
"131",0.2
"132",0.18
"133",0.44
"134",0.22
"135",0.96
"136",0.46
"137",0.4
"138",0.3
"139",0.19
"140",0.28
"141",0.41
"142",0.47
"143",0.43
"144",0.24
"145",0.54
"146",0.18
"147",0.12
"148",0.7
"149",0.19
"150",0.72
"151",0.23
"152",0.86
"153",0.35
"154",0.46
"155",0.33
"156",0.56
"157",0.17
"158",0.61
"159",0.24
"160",0.57
"161",0.18
"162",0.1
"163",0.2
"164",0.29
"165",0.44
"166",0.53
"167",0.32
"168",0.26
"169",0.17
"170",0.24
"171",0.4
"172",0.4
"173",0.4
"174",0.13
"175",0.22
"176",0.68
"177",0.51
"178",0.53
"179",0.29
"180",0.34
"181",0.26
"182",0.21
"183",0.34
"184",0.19
"185",0.2
"186",0.34
"187",0.22
"188",0.61
"189",0.24
"190",0.23
"191",0.31
"192",0.37
"193",0.69
"194",0.42
"195",0.3
"196",0.77
"197",0.15
"198",0.1
"199",0.2
"200",0.21
"201",0.31
"202",0.15
"203",0.34
"204",0.36
"205",0.51
"206",0.27
"207",0.34
"208",0.35
"209",0.16
"210",0.43
"211",0.28
"212",0.2
"213",0.29
"214",0.17
"215",0.18
"216",0.24
"217",0.38
"218",0.22
"219",0.19
"220",0.34
"221",0.17
"222",0.49
"223",0.21
"224",0.22
"225",0.26
"226",0.21
"227",0.22
"228",0.17
"229",0.28
"230",0.36
"231",0.39
"232",0.4
"233",0.33
"234",0.16
"235",0.17
"236",0.27
"237",0.13
"238",0.4
"239",0.39
"240",0.72
"241",0.13
"242",0.36
"243",0.27
"244",0.19
"245",0.31
"246",0.19
"247",0.39
"248",0.32
"249",0.6
"250",0.2
"251",0.21
"252",0.22
"253",0.43
"254",0.37
"255",0.23
"256",0.32
"257",0.22
"258",0.29
"259",0.16
"260",0.2
"261",0.15
"262",0.24
"263",0.19
"264",0.33
"265",0.18
"266",0.24
"267",0.18
"268",0.19
"269",0.17
"270",0.43
"271",0.39
"272",0.26
"273",0.29
"274",0.45
"275",0.51
"276",0.34
"277",0.26
"278",0.63
"279",0.21
"280",0.52
"281",0.21
"282",0.19
"283",0.3
"284",0.31
"285",0.9
"286",0.82
"287",0.92
"288",0.3
"289",0.93
"290",0.2
"291",0.25
"292",0.39
"293",0.39
"294",0.23
"295",0.13
"296",0.28
"297",0.19
"298",0.2
"299",0.23
"300",0.13
"301",0.26
"302",0.39
"303",0.27
"304",0.43
"305",0.21
"306",0.28
"307",0.24
"308",0.1
"309",0.51
"310",0.77
"311",0.18
"312",0.37
"313",0.71
"314",0.28
"315",0.25
"316",0.19
"317",0.21
"318",0.4
"319",0.35
"320",0.19
"321",0.16
"322",0.18
"323",0.22
"324",0.35
"325",0.2
"326",0.74
"327",0.3
"328",0.47
"329",0.14
"330",0.46
"331",0.58
"332",0.29
"333",0.16
"334",0.84
"335",0.29
"336",0.42
"337",0.26
"338",0.29
"339",0.27
"340",0.31
"341",0.21
"342",0.25
"343",0.31
"344",0.31
"345",0.32
"346",0.51
"347",0.62
"348",0.21
"349",0.25
"350",0.33
"351",0.22
"352",0.33
"353",0.2
"354",0.28
"355",0.32
"356",0.15
"357",0.46
"358",0.29
"359",0.72
"360",0.14
"361",0.4
"362",0.25
"363",0.14
"364",0.28
"365",0.81
"366",0.49
"367",0.2
"368",0.23
"369",0.28
"370",0.28
"371",0.25
"372",0.21
"373",0.26
"374",0.21
"375",0.24
"376",0.24
"377",0.59
"378",0.82
"379",0.3
"380",0.12
"381",0.68
"382",0.15
"383",0.15
"384",0.19
"385",0.29
"386",0.14
"387",0.2
"388",0.37
"389",0.55
"390",0.41
"391",0.35
"392",0.23
"393",0.26
"394",0.17
"395",0.18
"396",0.44
"397",0.65
"398",0.14
"399",0.25
"400",0.46
"401",0.15
"402",0.33
"403",0.57
"404",0.22
"405",0.5
"406",0.67
"407",0.21
"408",0.2
"409",0.4
"410",0.13
"411",0.22
"412",0.21
"413",0.42
"414",0.43
"415",0.17
"416",0.26
"417",0.33
"418",0.35
"419",0.25
"420",0.15
"421",0.27
"422",0.32
"423",0.3
"424",0.4
"425",0.33
