"index","condition1","condition2","weight","bootstrap","CI_lower","CI_upper"
1,"naloxone_take_home_sod","breakdown_rse",0,0.13,-0.194675160530352,0.123388954374538
2,"naloxone_take_home_sod","bereavement_rse",0,0.38,-0.257352386840934,0.108240791028631
3,"naloxone_take_home_sod","illhealth_rse",-0.18,0.22,-0.167650340380795,0.157837443247774
4,"naloxone_take_home_sod","relapse_rse",0,0.42,-0.244020458874272,0.0986556366859348
5,"naloxone_take_home_sod","homeless_rse",0,0.2,-0.240249089976746,0.0896516062988477
6,"naloxone_take_home_sod","prison_rse",0,0.19,-0.196993234637838,0.105171946145581
7,"naloxone_take_home_sod","alcohol_use_problem",0,0.24,-0.218697333134966,0.20906222038282
8,"naloxone_take_home_sod","no_known_treatment_aa",0,0.54,-0.0907863507777347,0.280837272905146
9,"naloxone_take_home_sod","a_e_cha",0,0.16,-0.230439578964699,0.168883850028592
10,"naloxone_take_home_sod","gp_cha",0,0.16,-0.196323201268787,0.135153798949363
11,"naloxone_take_home_sod","prison_healthcare_cha",0,0.42,-0.136413452057383,0.267715153035675
12,"naloxone_take_home_sod","psychiatric_services_cha",0,0.17,-0.260254232019748,0.110500193520469
13,"naloxone_take_home_sod","specialist_drug_service_non_statutory_cha",0,0.23,-0.175600179320706,0.156656659121588
14,"naloxone_take_home_sod","statutory_addiction_service_cha",0,0.43,-0.268322733346696,0.0862268055360329
15,"naloxone_take_home_sod","voluntary_sector_cha",0,0.36,-0.107691424229056,0.294773656100324
16,"naloxone_take_home_sod","alcohol_services_chnd",0,0.19,-0.133376653007124,0.177315387963361
17,"naloxone_take_home_sod","employability_services_chnd",0,0.21,-0.170038520590082,0.102459273687039
18,"naloxone_take_home_sod","homeless_services_chnd",-0.18,0.4,-0.243515070641676,0.0835762337909893
19,"naloxone_take_home_sod","housing_chnd",0,0.24,-0.124910303739017,0.214327218194861
20,"naloxone_take_home_sod","mental_health_services_chnd",0,0.2,-0.206837770208219,0.163202438907133
21,"naloxone_take_home_sod","no_known_contact_chnd",0,0.15,-0.17688785296842,0.133452773648411
22,"naloxone_take_home_sod","social_work_chnd",0,0.13,-0.163298282850948,0.248430254886882
23,"naloxone_take_home_sod","methadone_cp",0,0.22,-0.150693663527768,0.212663099980139
24,"naloxone_take_home_sod","not_currently_prescribed_a_substitute_drug_cp",0,0.2,-0.136655318433077,0.221116372501297
25,"naloxone_take_home_sod","alcohol_consumption_edu",0,0.29,-0.258086313184214,0.107346863830188
26,"naloxone_take_home_sod","injecting_edu",0,0.27,-0.106984264372936,0.285545335353122
