"variable","community","degree","closeness","betweenness","strength","source"
"AMOXICILLIN_CAP.250MG",182,0,NA,0,0,"PIS"
"oxycodone_td",181,0,NA,0,0,"NDRDD"
"trazodone_td",180,0,NA,0,0,"NDRDD"
"personality_disorder_pc",179,0,NA,0,0,"NDRDD"
"psychotic_episode_pc",178,0,NA,0,0,"NDRDD"
"pregabalin_op",177,0,NA,0,0,"NDRDD"
"obesity_mc",176,0,NA,0,0,"NDRDD"
"stomach_problems_gastritis_mc",175,0,NA,0,0,"NDRDD"
"cocaine_td",174,0,NA,0,0,"NDRDD"
"dihydrocodeine_td",173,0,NA,0,0,"NDRDD"
"cannabis_td",172,0,NA,0,0,"NDRDD"
"ecstasy_mdma_idu",171,0,NA,0,0,"NDRDD"
"paracetamol_td",170,0,NA,0,0,"NDRDD"
"pregabalin_td",169,0,NA,0,0,"NDRDD"
"social_work_chnd",168,0,NA,0,0,"NDRDD"
"psychiatric_services_cha",167,0,NA,0,0,"NDRDD"
"quetiapine_td",166,0,NA,0,0,"NDRDD"
"vitamin_supplements_aa",165,0,NA,0,0,"NDRDD"
"mirtazapine_td",164,0,NA,0,0,"NDRDD"
"diclazepam_td",163,0,NA,0,0,"NDRDD"
"pharmacotherapy_and_community_based_detoxification_aa",162,0,NA,0,0,"NDRDD"
"employability_services_chnd",161,0,NA,0,0,"NDRDD"
"needle_exchange_cha",160,0,NA,0,0,"NDRDD"
"LEVOTHYROX.SOD_TAB.25MCG",159,2,0.5,7.24244070251675e-06,2,"PIS"
"LEVOTHYROX.SOD_TAB.100MCG",159,1,0.333333333333333,0,1,"PIS"
"LEVOTHYROX.SOD_TAB.50MCG",159,1,0.333333333333333,0,1,"PIS"
"SERETIDE.250_ACCUHALER.250MCG.50MCG.60D.",158,1,1,0,1,"PIS"
"SERETIDE.500_ACCUHALER.500MCG.50MCG.60D.",158,1,1,0,1,"PIS"
"RAMIPRIL_CAP.10MG",157,1,1,0,1,"PIS"
"RAMIPRIL_CAP.2.5MG",157,1,1,0,1,"PIS"
"NEFOPAM.HCL_TAB.30MG",156,1,1,0,1,"PIS"
"ACUPAN_TAB.30MG",156,1,1,0,1,"PIS"
"AMLODIPINE_TAB.10MG",155,1,1,0,1,"PIS"
"AMLODIPINE_TAB.5MG",155,1,1,0,1,"PIS"
"XYLOMET.HCL_NSL.SPY.0.1..10ML",154,1,1,0,1,"PIS"
"MOTILIUM.10_TAB.10MG",154,1,1,0,1,"PIS"
"SYMBICORT_TURBOHALER.200MCG.6MCG..120.D.",153,0,NA,0,0,"PIS"
"NITROFURANTOIN_CAP.50MG",152,2,0.5,7.24244070251675e-06,2,"PIS"
"MACROGOL_CO.ORAL.PDR.SACH.S.F",152,1,0.333333333333333,0,1,"PIS"
"CEFALEXIN_CAP.250MG",152,1,0.333333333333333,0,1,"PIS"
"OLANZAPINE_TAB.5MG",151,2,0.25,1.44848814050335e-05,2,"PIS"
"OLANZAPINE_TAB.10MG",151,2,0.25,1.44848814050335e-05,2,"PIS"
"OLANZAPINE_TAB.2.5MG",151,1,0.166666666666667,0,1,"PIS"
"OLANZAPINE_TAB.20MG",151,1,0.166666666666667,0,1,"PIS"
"VENLAFAXINE_CAP.150MG.M.R",150,1,1,0,1,"PIS"
"VENLAFAXINE_CAP.75MG.M.R",150,1,1,0,1,"PIS"
"HALF.INDERAL.LA_CAP.80MG",149,1,1,0,1,"PIS"
"PROPRANOLOL.HCL_CAP.80MG.M.R",149,1,1,0,1,"PIS"
"FUCIBET_CRM",148,2,0.25,1.44848814050335e-05,2,"PIS"
"DOSULEPIN.HCL_TAB.75MG",148,2,0.25,1.44848814050335e-05,2,"PIS"
"DOSULEPIN.HCL_CAP.25MG",148,1,0.166666666666667,0,1,"PIS"
"DOUBLEBASE_GEL",148,1,0.166666666666667,0,1,"PIS"
"NIQUITIN_PATCH.21MG.24HRS..STEP.1.",147,1,1,0,1,"PIS"
"NIQUITIN.CLR_PATCH.21MG.24HRS.STEP.1.",147,1,1,0,1,"PIS"
"PREGABALIN_CAP.150MG",146,4,0.0588235294117647,0.000205202486571308,4,"PIS"
"PREGABALIN_CAP.100MG",146,4,0.0555555555555556,0.000184682237914177,4,"PIS"
"LYRICA_CAP.150MG",146,3,0.0454545454545455,6.03536725209729e-05,3,"PIS"
"PREGABALIN_CAP.50MG",146,3,0.0416666666666667,3.25909831613254e-05,3,"PIS"
"LYRICA_CAP.300MG",146,2,0.0344827586206897,6.03536725209729e-06,2,"PIS"
"LYRICA_CAP.75MG",146,2,0.0344827586206897,6.03536725209729e-06,2,"PIS"
"LYRICA_CAP.100MG",146,2,0.04,2.53485424588086e-05,2,"PIS"
"LYRICA_CAP.50MG",146,2,0.032258064516129,3.62122035125837e-06,2,"PIS"
"PREGABALIN_CAP.300MG",146,2,0.0416666666666667,2.41414690083892e-05,2,"PIS"
"PREGABALIN_CAP.75MG",146,2,0.0416666666666667,2.41414690083892e-05,2,"PIS"
"PREGABALIN_CAP.200MG",146,2,0.04,0,2,"PIS"
"MOVICOL.PLAIN_PDR.SACH.13.7G",145,2,0.5,7.24244070251675e-06,2,"PIS"
"LAXIDO_ORAL.PDR.SACH..ORANGE..S.F",145,1,0.333333333333333,0,1,"PIS"
"MOVICOL_PDR.SACH.13.8G..LEM...LIM.",145,1,0.333333333333333,0,1,"PIS"
"REMEDEINE.FTE_TAB",144,2,0.25,1.44848814050335e-05,2,"PIS"
"SILDENAFIL_TAB.50MG",144,2,0.25,1.44848814050335e-05,2,"PIS"
"PARACET.DIHYDROCODEINE_TAB.500MG.30MG",144,1,0.166666666666667,0,1,"PIS"
"SILDENAFIL_TAB.100MG",144,1,0.166666666666667,0,1,"PIS"
"METOCLOPRAMIDE.HCL_TAB.10MG",143,1,1,0,1,"PIS"
"RANITIDINE.HCL_TAB.150MG",143,1,1,0,1,"PIS"
"LYMECYCLINE_CAP.408MG",142,1,1,0,1,"PIS"
"ZINERYT_LOT",142,1,1,0,1,"PIS"
"ZOLPIDEM.TART_TAB.10MG",141,1,1,0,1,"PIS"
"ZOLPIDEM.TART_TAB.5MG",141,1,1,0,1,"PIS"
"LANSOPRAZOLE_CAP.15MG..E.C.GRAN.",140,1,1,0,1,"PIS"
"LANSOPRAZOLE_CAP.30MG..E.C.GRAN.",140,1,1,0,1,"PIS"
"CO.AMOXICLAV_TAB.250MG.125MG",139,1,1,0,1,"PIS"
"CALAMINE.AQ_CRM",139,1,1,0,1,"PIS"
"RISPERIDONE_TAB.2MG",138,1,1,0,1,"PIS"
"RISPERIDONE_TAB.1MG",138,1,1,0,1,"PIS"
"NICORETTE_PATCH.15MG.16HRS",137,1,1,0,1,"PIS"
"NICORETTE_INHALATOR...INH.CART.10MG",137,1,1,0,1,"PIS"
"SUBOXONE_TAB.SUBLING.2MG.0.5MG",136,1,1,0,1,"PIS"
"SUBOXONE_TAB.SUBLING.8MG.2MG",136,1,1,0,1,"PIS"
"VARENICLINE.TART_TAB.1MG",135,2,0.5,7.24244070251675e-06,2,"PIS"
"VARENICLINE.TART_TI.P..TAB.0.5MG.1MG.",135,1,0.333333333333333,0,1,"PIS"
"CHAMPIX_TAB.1MG",135,1,0.333333333333333,0,1,"PIS"
"AIROMIR_AUTOHALER.100MCG..200.D..CFF",134,2,0.5,7.24244070251675e-06,2,"PIS"
"CO.AMOXICLAV_TAB.500MG.125MG",134,1,0.333333333333333,0,1,"PIS"
"SALAMOL.E.BREATHE_INH.100MCG..200.D..CFF",134,1,0.333333333333333,0,1,"PIS"
"DICLOFENAC.SOD_TAB.E.C.25MG",133,0,NA,0,0,"PIS"
"ALMOND.OIL_LIQ",132,1,1,0,1,"PIS"
"CERUMOL_EAR.DPS",132,1,1,0,1,"PIS"
"TRAZODONE.HCL_CAP.50MG",131,2,0.25,1.44848814050335e-05,2,"PIS"
"TRAZODONE.HCL_CAP.100MG",131,2,0.25,1.44848814050335e-05,2,"PIS"
"CHLORDIAZEPOX.HCL_CAP.5MG",131,1,0.166666666666667,0,1,"PIS"
"TRAZODONE.HCL_TAB.150MG",131,1,0.166666666666667,0,1,"PIS"
"SIMPLE_LINCT.S.F",130,1,1,0,1,"PIS"
"SIMPLE_LINCT",130,1,1,0,1,"PIS"
"CO.CODAMOL_CAP.30MG.500MG",129,1,1,0,1,"PIS"
"PARACET_CAP.500MG",129,1,1,0,1,"PIS"
"PROCHLPZINE.MAL_TAB.5MG",128,1,1,0,1,"PIS"
"IBUPROFEN_TAB.600MG",128,1,1,0,1,"PIS"
"DOXYCYCLINE.HYCLATE_CAP.100MG",127,1,1,0,1,"PIS"
"VOLUMATIC",127,1,1,0,1,NA
"FORTIJUCE_LIQ..7.FLAV.",126,1,1,0,1,"PIS"
"FORTISIP.BOTTLE_LIQ..8.FLAV.",126,1,1,0,1,"PIS"
"PHENERGAN_TAB.25MG",125,1,1,0,1,"PIS"
"PROMETHAZINE.HCL_TAB.25MG",125,1,1,0,1,"PIS"
