"variable","community","degree","closeness","betweenness","strength","source"
"QUETIAPINE_TAB.200MG",139,0,NA,0,0,"PIS"
"EPADERM.OINT",138,0,NA,0,0,"PIS"
"CYCLIZINE.HCL_TAB.50MG",137,0,NA,0,0,"PIS"
"IBUPROFEN_TAB.200MG",136,0,NA,0,0,"PIS"
"NITRAZEPAM_TAB.5MG",135,0,NA,0,0,"PIS"
"paracetamol_td",134,0,NA,0,0,"NDRDD"
"own_home_pdu",133,0,NA,0,0,"NDRDD"
"stomach_problems_gastritis_mc",132,0,NA,0,0,"NDRDD"
"cocaine_td",131,0,NA,0,0,"NDRDD"
"ecstasy_mdma_idu",130,0,NA,0,0,"NDRDD"
"mirtazapine_td",129,0,NA,0,0,"NDRDD"
"smoking_edu",128,0,NA,0,0,"NDRDD"
"alcohol_td",127,0,NA,0,0,"NDRDD"
"social_work_chnd",126,0,NA,0,0,"NDRDD"
"self_help_individual_and_group_based_aa",125,0,NA,0,0,"NDRDD"
"pharmacotherapy_and_community_based_detoxification_aa",124,0,NA,0,0,"NDRDD"
"vitamin_supplements_aa",123,0,NA,0,0,"NDRDD"
"gp_cha",122,0,NA,0,0,"NDRDD"
"LYRICA_CAP.50MG",121,1,1,0,1,"PIS"
"PREGABALIN_CAP.50MG",121,1,1,0,1,"PIS"
"FERR.FUMAR_TAB.210MG",120,1,1,0,1,"PIS"
"FERR.SULF_TAB.200MG",120,1,1,0,1,"PIS"
"DHC.CONTINUS_TAB.60MG",119,1,1,0,1,"PIS"
"DIHYDROCODEINE.TART_TAB.60MG.M.R",119,1,1,0,1,"PIS"
"LYRICA_CAP.300MG",118,1,1,0,1,"PIS"
"PREGABALIN_CAP.300MG",118,1,1,0,1,"PIS"
"LYRICA_CAP.150MG",117,2,0.25,9.85784980580036e-06,2,"PIS"
"PREGABALIN_CAP.150MG",117,2,0.25,9.85784980580036e-06,2,"PIS"
"LYRICA_CAP.75MG",117,2,0.25,9.85784980580036e-06,2,"PIS"
"PREGABALIN_CAP.75MG",117,2,0.25,9.85784980580036e-06,2,"PIS"
"CYMBALTA_CAP.G.R.60MG",116,1,1,0,1,"PIS"
"DULOXETINE.HCL_CAP.G.R.60MG",116,1,1,0,1,"PIS"
"SIMPLE_LINCT",115,1,1,0,1,"PIS"
"MENTHOL_.S.",115,1,1,0,1,"PIS"
"RANITIDINE.HCL_TAB.150MG",114,0,NA,0,0,"PIS"
"FUROSEMIDE_TAB.20MG",113,1,1,0,1,"PIS"
"FUROSEMIDE_TAB.40MG",113,1,1,0,1,"PIS"
"AIROMIR_AUTOHALER.100MCG..200.D..CFF",112,1,1,0,1,"PIS"
"SALAMOL.E.BREATHE_INH.100MCG..200.D..CFF",112,1,1,0,1,"PIS"
"ZOLPIDEM.TART_TAB.10MG",111,1,1,0,1,"PIS"
"ZOLPIDEM.TART_TAB.5MG",111,1,1,0,1,"PIS"
"CALAMINE.AQ_CRM",110,2,0.5,1.97156996116007e-05,2,"PIS"
"CO.AMOXICLAV_TAB.250MG.125MG",110,1,0.333333333333333,0,1,"PIS"
"PROPRANOLOL.HCL_CAP.80MG.M.R",110,1,0.333333333333333,0,1,"PIS"
"QUETIAPINE_TAB.100MG",109,2,0.5,1.97156996116007e-05,2,"PIS"
"QUETIAPINE_TAB.25MG",109,1,0.333333333333333,0,1,"PIS"
"QUETIAPINE_TAB.300MG",109,1,0.333333333333333,0,1,"PIS"
"DIORALYTE_PDR.SACH..BLKCURRANT.",108,1,1,0,1,"PIS"
"IBUPROFEN_TAB.600MG",108,1,1,0,1,"PIS"
"SUBOXONE_TAB.SUBLING.2MG.0.5MG",107,1,1,0,1,"PIS"
"SUBOXONE_TAB.SUBLING.8MG.2MG",107,1,1,0,1,"PIS"
"GAVISCON.ADVANCE_LIQ..ANISEED..S.F",106,2,0.142857142857143,5.91470988348022e-05,2,"PIS"
"GAVISCON_LIQ.ORIG.ANISEED.RELIEF",106,2,0.142857142857143,5.91470988348022e-05,2,"PIS"
"GAVISCON_LIQ.RELIEF.PEPPERMINT",106,2,0.166666666666667,7.88627984464029e-05,2,"PIS"
"CO.AMOXICLAV_TAB.500MG.125MG",106,1,0.1,0,1,"PIS"
"GAVISCON.ADVANCE_LIQ..PEPPERMINT..S.F",106,1,0.1,0,1,"PIS"
"TRAZODONE.HCL_CAP.100MG",105,2,0.5,1.97156996116007e-05,2,"PIS"
"TRAZODONE.HCL_CAP.50MG",105,1,0.333333333333333,0,1,"PIS"
"TRAZODONE.HCL_TAB.150MG",105,1,0.333333333333333,0,1,"PIS"
"MST.CONTINUS_TAB.10MG",104,3,0.2,9.85784980580036e-05,3,"PIS"
"MST.CONTINUS_TAB.30MG",104,2,0.166666666666667,5.91470988348022e-05,2,"PIS"
"LAXIDO_ORAL.PDR.SACH..ORANGE..S.F",104,1,0.111111111111111,0,1,"PIS"
"ORAMORPH_ORAL.SOLN.10MG.5ML",104,1,0.125,0,1,"PIS"
