"condition","value"
"breakdown_rse",2
"bereavement_rse",3
"jobloss_rse",5
"illhealth_rse",6
"relapse_rse",7
"assaulted_rse",9
"arrested_rse",10
"ill_fam_rse",13
"debt_rse",14
"a_e_cha",24
"addiction_psychology_cha",25
"community_rehabilitation_cha",26
"drug_crisis_centre_cha",27
"dtto_cha",28
"prison_healthcare_cha",34
"probation_cha",35
"psychiatric_services_cha",36
"residential_rehab_cha",37
"social_work_offender_services_cha",38
"social_work_services_cha",39
"specialist_drug_service_non_statutory_cha",40
"voluntary_sector_cha",42
"employability_services_chnd",44
"amphetamines_idu",61
"buprenorphine_idu",62
"cannabis_idu",63
"dihydrocodeine_idu",67
"gabapentin_idu",69
"legal_highs_new_psychoactive_substances_idu",71
"temazepam_non_prescribed_idu",73
"volatile_substances_idu",74
"arthritis_mc",87
"chronic_hepatitis_b_mc",90
"eating_disorder_underweight_mc",94
"kidney_problems_mc",97
"obesity_mc",100
"pancreatitis_not_alcohol_related_mc",101
"sensory_impairment_mc",103
"skin_condition_mc",104
"dihydrocodeine_op",109
"gabapentin_op",111
"mirtazapine_op",112
"pregabalin_op",113
"tramadol_op",115
"zopiclone_op",116
"bi_polar_disorder_pc",119
"personality_disorder_pc",122
"post_traumatic_stress_disorder_pc",123
"psychotic_episode_pc",124
"anti_depressants_td",135
"anti_psychotics_td",136
"benzo_td",137
"cannabis_td",139
"diclazepam_td",144
"dihydrocodeine_td",145
"endogenous_substance_td",147
"gabapentin_td",150
"olanzapine_td",157
"other_opioids_td",160
"oxycodone_td",162
"phenazepam_td",164
"pregabalin_td",165
"quetiapine_td",166
"sertraline_td",167
"tramadol_td",169
"trazodone_td",170
"venlafaxine_td",171
"F111_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.OPIOIDS",174
"F112_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.DEPENDENT.USE.OF.OPIOIDS",175
"K297_GASTRITIS..UNSPECIFIED",176
"R060_DYSPNOEA",178
"R55X_SYNCOPE.AND.COLLAPSE",181
"R945_ABNORMAL.RESULTS.OF.LIVER.FUNCTION.STUDIES",184
"F101_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.ALCOHOL",187
"F121_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.CANNABINOIDS",190
"J22X_UNSPECIFIED.ACUTE.LOWER.RESPIRATORY.INFECTION",192
"K920_HAEMATEMESIS",193
"R074_CHEST.PAIN..UNSPECIFIED",195
"Y099_ASSAULT.BY.UNSPECIFIED.MEANS.IN.UNSPECIFIED.PLACE",198
"F603_EMOTIONALLY.UNSTABLE.PERSONALITY.DISORDER",200
"T510_TOXIC.EFFECT.OF.ETHANOL",207
"Y009_ASSAULT.BY.BLUNT.OBJECT.IN.UNSPECIFIED.PLACE",212
"Z036_OBSERVATION.FOR.SUSPECTED.TOXIC.EFFECT.FROM.INGESTED.SUBSTANCE",213
"Z722_DRUG.USE",217
"K292_ALCOHOLIC.GASTRITIS",219
"W199_UNSPECIFIED.FALL.IN.UNSPECIFIED.PLACE",220
"B171_ACUTE.HEPATITIS.C",221
"B182_CHRONIC.VIRAL.HEPATITIS.C",222
"F191_MENTAL.BEHAV.DISORDERS.DUE.TO.HARMFUL.USE.OF.MULT.DRUGS.PSYCHOACT.SUBS",223
"S018_OPEN.WOUND.OF.OTHER.PARTS.OF.HEAD",224
