"variable","node_index"
"mental_health_services_chnd",7
"no_known_contact_chnd",8
"not_currently_prescribed_a_substitute_drug_cp",10
"injecting_edu",11
"no_evidence_of_drug_taking_or_alcohol_consumption_edu",12
"oral_consumption_edu",13
"employed_paid_unpaid_es",14
"long_term_sick_disabled_es",15
"back_pain_injury_mc",29
"epilepsy_seizures_mc",32
"no_known_medical_conditions_mc",33
"anxiety_pc",39
"bi_polar_disorder_pc",40
"depression_low_mood_pc",41
"no_known_psychiatric_conditions_pc",42
"heroin_morphine_td",49
"vitamin_supplements_aa",101
"cannabis_idu",102
"social_work_chnd",103
"buprenorphine_td",104
"smoking_edu",106
"snorting_edu",107
"unemployed_es",108
"respiratory_condition_including_copd_mc",114
"stomach_problems_gastritis_mc",115
"etizolam_td",123
"X620_INTENT.SELF.POISONING.BY.EXPOSURE.TO.NARCOTICS.PSYCHODYSLEPTICS.AT.HOME",142
