"subsystem","nb_of_factors","factor_rank","factor","degree","betweenness"
"15",13,1,"friend_s_home_lw",6,0
"15",13,2,"own_home_lw",6,0
"15",13,3,"relative_s_home_lw",5,0
"15",13,4,"living_alone_lww",5,0
"15",13,5,"with_spouse_partner_lww",5,0
"41",7,1,"T391_POISONING.BY.4.AMINOPHENOL.DERIVATIVES",3,0
"41",7,2,"T402_POISONING.BY.OTHER.OPIOIDS",3,0
"41",7,3,"T401_POISONING.BY.HEROIN",2,0
"41",7,4,"X429_ACC.POISONING.BY.NARCOTICS.PSYCHODYSLEPTICS.NEC.IN.UNSPECIFIED.PLACE",2,0
"41",7,5,"X629_INTENT.SELF.POISONING.BY.NARCOTICS.PSYCHODYSLEPTICS.IN.UNSPECIFIED.PLACE",2,0
"2",7,1,"alcohol_use_problem",3,0
"2",7,2,"community_based_psychosocial_therapy_aa",3,0
"2",7,3,"alcohol_services_chnd",2,0
"2",7,4,"no_known_treatment_aa",1,0
"2",7,5,"pharmacotherapy_and_community_based_detoxification_aa",1,0
"21",5,1,"amitriptyline_op",2,0
"21",5,2,"nortriptyline_td",2,0
"21",5,3,"AMITRIPTYLINE.HCL_TAB.50MG",2,0
"21",5,4,"amitriptyline_td",1,0
"21",5,5,"AMITRIPTYLINE.HCL_TAB.25MG",1,0
"14",5,1,"gabapentin_op",2,0
"14",5,2,"gabapentin_td",2,0
"14",5,3,"GABAPENTIN_CAP.300MG",2,0
"14",5,4,"gabapentin_idu",1,0
"14",5,5,"GABAPENTIN_CAP.100MG",1,0
"38",4,1,"X619_SELF.POISON.BY.ANTIEPILEP.ANTIPARK.PSYCHOTROP.DRUGS..IN.UNSPECIFIED.PLACE",3,0
"38",4,2,"T424_POISONING.BY.BENZODIAZEPINES",1,0
"38",4,3,"T432_POISONING.BY.OTHER.AND.UNSPECIFIED.ANTIDEPRESSANTS",1,0
"38",4,4,"Z036_OBSERVATION.FOR.SUSPECTED.TOXIC.EFFECT.FROM.INGESTED.SUBSTANCE",1,0
"38",4,5,NA,NA,NA
"54",3,1,"CITALOPRAM.HYDROB_TAB.20MG",2,0
"54",3,2,"CITALOPRAM.HYDROB_TAB.10MG",1,0
"54",3,3,"CITALOPRAM.HYDROB_TAB.40MG",1,0
"54",3,4,NA,NA,NA
"54",3,5,NA,NA,NA
"50",3,1,"SALBUTAMOL_INHA.100MCG..200.D..CFF",2,0
"50",3,2,"PREDNISOLONE_TAB.5MG",1,0
"50",3,3,"CLENIL.MODULITE_INHA.100MCG..200D.",1,0
"50",3,4,NA,NA,NA
"50",3,5,NA,NA,NA
"47",3,1,"MIRTAZAPINE_TAB.30MG",2,0
"47",3,2,"MIRTAZAPINE_TAB.15MG",1,0
"47",3,3,"MIRTAZAPINE_TAB.45MG",1,0
"47",3,4,NA,NA,NA
"47",3,5,NA,NA,NA
"42",3,1,"S099_UNSPECIFIED.INJURY.OF.HEAD",2,0
"42",3,2,"Y049_ASSAULT.BY.BODILY.FORCE.IN.UNSPECIFIED.PLACE",1,0
"42",3,3,"Z043_EXAMINATION.AND.OBSERVATION.FOLLOWING.OTHER.ACCIDENT",1,0
"42",3,4,NA,NA,NA
"42",3,5,NA,NA,NA
