"subsystem","nb_of_factors","factor_rank","factor","degree","betweenness"
"16",10,1,"own_home_lw",7,0
"16",10,2,"relative_s_home_lw",5,0
"16",10,3,"friend_s_home_lw",4,0
"16",10,4,"living_alone_lww",3,0
"16",10,5,"with_parents_lww",3,0
"34",5,1,"X619_SELF.POISON.BY.ANTIEPILEP.ANTIPARK.PSYCHOTROP.DRUGS..IN.UNSPECIFIED.PLACE",3,0
"34",5,2,"T424_POISONING.BY.BENZODIAZEPINES",2,0
"34",5,3,"T403_POISONING.BY.METHADONE",1,0
"34",5,4,"T426_POISONING.BY.OTHER.ANTIEPILEPTIC.AND.SEDATIVE.HYPNOTIC.DRUGS",1,0
"34",5,5,"T432_POISONING.BY.OTHER.AND.UNSPECIFIED.ANTIDEPRESSANTS",1,0
"33",5,1,"T391_POISONING.BY.4.AMINOPHENOL.DERIVATIVES",3,0
"33",5,2,"Z915_PERSONAL.HISTORY.OF.SELF.HARM",2,0
"33",5,3,"F329_DEPRESSIVE.EPISODE..UNSPECIFIED",1,0
"33",5,4,"T402_POISONING.BY.OTHER.OPIOIDS",1,0
"33",5,5,"X609_SELF.POISON.BY.NONOPIOID.ANALGES.ANTIPYRET.ANTIRHEUM.IN.UNSPEC.PLACE",1,0
"3",4,1,"alcohol_use_problem",3,0
"3",4,2,"community_based_psychosocial_therapy_aa",1,0
"3",4,3,"inpatient_detoxification_and_residential_community_rehabilitation_aa",1,0
"3",4,4,"no_known_treatment_aa",1,0
"3",4,5,NA,NA,NA
"41",3,1,"VIT.B.CO.STRONG_TAB",2,0
"41",3,2,"DAKTACORT_CRM.2..1.",1,0
"41",3,3,"CHLORDIAZEPOX.HCL_CAP.10MG",1,0
"41",3,4,NA,NA,NA
"41",3,5,NA,NA,NA
"39",3,1,"MIRTAZAPINE_TAB.30MG",2,0
"39",3,2,"MIRTAZAPINE_TAB.15MG",1,0
"39",3,3,"MIRTAZAPINE_TAB.45MG",1,0
"39",3,4,NA,NA,NA
"39",3,5,NA,NA,NA
"35",3,1,"T401_POISONING.BY.HEROIN",2,0
"35",3,2,"X429_ACC.POISONING.BY.NARCOTICS.PSYCHODYSLEPTICS.NEC.IN.UNSPECIFIED.PLACE",1,0
"35",3,3,"X629_INTENT.SELF.POISONING.BY.NARCOTICS.PSYCHODYSLEPTICS.IN.UNSPECIFIED.PLACE",1,0
"35",3,4,NA,NA,NA
"35",3,5,NA,NA,NA
"27",3,1,"codeine_td",2,0
"27",3,2,"heroin_morphine_td",1,0
"27",3,3,"paracetamol_td",1,0
"27",3,4,NA,NA,NA
"27",3,5,NA,NA,NA
"26",3,1,"CITALOPRAM.HYDROB_TAB.20MG",2,0
"26",3,2,"citalopram_td",1,0
"26",3,3,"CITALOPRAM.HYDROB_TAB.40MG",1,0
"26",3,4,NA,NA,NA
"26",3,5,NA,NA,NA
"21",3,1,"pregabalin_op",2,0
"21",3,2,"mirtazapine_op",1,0
"21",3,3,"pregabalin_td",1,0
"21",3,4,NA,NA,NA
"21",3,5,NA,NA,NA
"20",3,1,"SALBUTAMOL_INHA.100MCG..200.D..CFF",2,0
"20",3,2,"respiratory_condition_including_copd_mc",1,0
"20",3,3,"CLENIL.MODULITE_INHA.100MCG..200D.",1,0
"20",3,4,NA,NA,NA
"20",3,5,NA,NA,NA
"2",3,1,"prison_healthcare_cha",2,0
"2",3,2,"prison_rse",1,0
"2",3,3,"dtto_cha",1,0
"2",3,4,NA,NA,NA
"2",3,5,NA,NA,NA
"45",2,1,"ZOLPIDEM.TART_TAB.10MG",1,0
"45",2,2,"VENLAFAXINE_CAP.75MG.M.R",1,0
"45",2,3,NA,NA,NA
"45",2,4,NA,NA,NA
"45",2,5,NA,NA,NA
"44",2,1,"SUBOXONE_TAB.SUBLING.2MG.0.5MG",1,0
"44",2,2,"SUBOXONE_TAB.SUBLING.8MG.2MG",1,0
"44",2,3,NA,NA,NA
"44",2,4,NA,NA,NA
"44",2,5,NA,NA,NA
"43",2,1,"LACTULOSE_SOLN.3.1G.3.7G.5ML",1,0
"43",2,2,"SENNA_TAB.7.5MG",1,0
"43",2,3,NA,NA,NA
"43",2,4,NA,NA,NA
"43",2,5,NA,NA,NA
"42",2,1,"METHADONE.HCL_MIX.1MG.1ML",1,0
"42",2,2,"METHADONE.HCL_MIX.1MG.1ML.S.F",1,0
"42",2,3,NA,NA,NA
"42",2,4,NA,NA,NA
"42",2,5,NA,NA,NA
"40",2,1,"SERTRALINE.HCL_TAB.100MG",1,0
"40",2,2,"SERTRALINE.HCL_TAB.50MG",1,0
"40",2,3,NA,NA,NA
"40",2,4,NA,NA,NA
"40",2,5,NA,NA,NA
"38",2,1,"IBUPROFEN_TAB.400MG",1,0
"38",2,2,"PARACET_TAB.500MG",1,0
"38",2,3,NA,NA,NA
"38",2,4,NA,NA,NA
"38",2,5,NA,NA,NA
"37",2,1,"DIAZEPAM_TAB.2MG",1,0
"37",2,2,"DIAZEPAM_TAB.5MG",1,0
"37",2,3,NA,NA,NA
"37",2,4,NA,NA,NA
"37",2,5,NA,NA,NA
"32",2,1,"F103_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.WITHDRAWAL.OF.ALCOHOL",1,0
"32",2,2,"F102_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.ALCOHOL.DEPENDENCE.SYNDROME",1,0
"32",2,3,NA,NA,NA
"32",2,4,NA,NA,NA
"32",2,5,NA,NA,NA
"31",2,1,"quetiapine_td",1,0
"31",2,2,"QUETIAPINE_TAB.25MG",1,0
"31",2,3,NA,NA,NA
"31",2,4,NA,NA,NA
"31",2,5,NA,NA,NA
"30",2,1,"oxazepam_td",1,0
"30",2,2,"temazepam_td",1,0
"30",2,3,NA,NA,NA
"30",2,4,NA,NA,NA
"30",2,5,NA,NA,NA
"29",2,1,"fluoxetine_td",1,0
"29",2,2,"FLUOXETINE.HCL_CAP.20MG",1,0
"29",2,3,NA,NA,NA
"29",2,4,NA,NA,NA
"29",2,5,NA,NA,NA
"28",2,1,"diazepam_td",1,0
"28",2,2,"nordiazepam_td",1,0
"28",2,3,NA,NA,NA
"28",2,4,NA,NA,NA
"28",2,5,NA,NA,NA
"25",2,1,"amitriptyline_td",1,0
"25",2,2,"nortriptyline_td",1,0
"25",2,3,NA,NA,NA
"25",2,4,NA,NA,NA
"25",2,5,NA,NA,NA
"18",2,1,"hepatitis_c_mc",1,0
"18",2,2,"B182_CHRONIC.VIRAL.HEPATITIS.C",1,0
"18",2,3,NA,NA,NA
"18",2,4,NA,NA,NA
"18",2,5,NA,NA,NA
"15",2,1,"gabapentin_idu",1,0
"15",2,2,"gabapentin_td",1,0
"15",2,3,NA,NA,NA
"15",2,4,NA,NA,NA
"15",2,5,NA,NA,NA
"14",2,1,"ecstasy_mdma_idu",1,0
"14",2,2,"ecstasy_mdma_td",1,0
"14",2,3,NA,NA,NA
"14",2,4,NA,NA,NA
"14",2,5,NA,NA,NA
"13",2,1,"cocaine_idu",1,0
"13",2,2,"cocaine_td",1,0
"13",2,3,NA,NA,NA
"13",2,4,NA,NA,NA
"13",2,5,NA,NA,NA
"12",2,1,"cannabis_idu",1,0
"12",2,2,"cannabis_td",1,0
"12",2,3,NA,NA,NA
"12",2,4,NA,NA,NA
"12",2,5,NA,NA,NA
"6",2,1,"methadone_cp",1,0
"6",2,2,"methadone_td",1,0
"6",2,3,NA,NA,NA
"6",2,4,NA,NA,NA
"6",2,5,NA,NA,NA
"53",1,1,"GABAPENTIN_CAP.300MG",0,0
"53",1,2,NA,NA,NA
"53",1,3,NA,NA,NA
"53",1,4,NA,NA,NA
"53",1,5,NA,NA,NA
"52",1,1,"schizophrenia_pc",0,0
"52",1,2,NA,NA,NA
"52",1,3,NA,NA,NA
"52",1,4,NA,NA,NA
"52",1,5,NA,NA,NA
"51",1,1,"unemployed_es",0,0
"51",1,2,NA,NA,NA
"51",1,3,NA,NA,NA
"51",1,4,NA,NA,NA
"51",1,5,NA,NA,NA
"50",1,1,"snorting_edu",0,0
"50",1,2,NA,NA,NA
"50",1,3,NA,NA,NA
"50",1,4,NA,NA,NA
"50",1,5,NA,NA,NA
"49",1,1,"oral_consumption_edu",0,0
"49",1,2,NA,NA,NA
"49",1,3,NA,NA,NA
"49",1,4,NA,NA,NA
"49",1,5,NA,NA,NA
"48",1,1,"not_currently_prescribed_a_substitute_drug_cp",0,0
"48",1,2,NA,NA,NA
"48",1,3,NA,NA,NA
"48",1,4,NA,NA,NA
"48",1,5,NA,NA,NA
"47",1,1,"social_work_chnd",0,0
"47",1,2,NA,NA,NA
"47",1,3,NA,NA,NA
"47",1,4,NA,NA,NA
"47",1,5,NA,NA,NA
"46",1,1,"pharmacotherapy_and_community_based_detoxification_aa",0,0
"46",1,2,NA,NA,NA
"46",1,3,NA,NA,NA
"46",1,4,NA,NA,NA
"46",1,5,NA,NA,NA
"36",1,1,"CLARITHROMYCIN_TAB.250MG",0,0
"36",1,2,NA,NA,NA
"36",1,3,NA,NA,NA
"36",1,4,NA,NA,NA
"36",1,5,NA,NA,NA
"24",1,1,"outdoors_pdu",0,0
"24",1,2,NA,NA,NA
"24",1,3,NA,NA,NA
"24",1,4,NA,NA,NA
"24",1,5,NA,NA,NA
"23",1,1,"no_known_psychiatric_conditions_pc",0,0
"23",1,2,NA,NA,NA
"23",1,3,NA,NA,NA
"23",1,4,NA,NA,NA
"23",1,5,NA,NA,NA
"22",1,1,"depression_low_mood_pc",0,0
"22",1,2,NA,NA,NA
"22",1,3,NA,NA,NA
"22",1,4,NA,NA,NA
"22",1,5,NA,NA,NA
"19",1,1,"no_known_medical_conditions_mc",0,0
"19",1,2,NA,NA,NA
"19",1,3,NA,NA,NA
"19",1,4,NA,NA,NA
"19",1,5,NA,NA,NA
"17",1,1,"epilepsy_seizures_mc",0,0
"17",1,2,NA,NA,NA
"17",1,3,NA,NA,NA
"17",1,4,NA,NA,NA
"17",1,5,NA,NA,NA
"11",1,1,"retired_es",0,0
"11",1,2,NA,NA,NA
"11",1,3,NA,NA,NA
"11",1,4,NA,NA,NA
"11",1,5,NA,NA,NA
"10",1,1,"long_term_sick_disabled_es",0,0
"10",1,2,NA,NA,NA
"10",1,3,NA,NA,NA
"10",1,4,NA,NA,NA
"10",1,5,NA,NA,NA
"9",1,1,"employed_paid_unpaid_es",0,0
"9",1,2,NA,NA,NA
"9",1,3,NA,NA,NA
"9",1,4,NA,NA,NA
"9",1,5,NA,NA,NA
"8",1,1,"no_evidence_of_drug_taking_or_alcohol_consumption_edu",0,0
"8",1,2,NA,NA,NA
"8",1,3,NA,NA,NA
"8",1,4,NA,NA,NA
"8",1,5,NA,NA,NA
"7",1,1,"injecting_edu",0,0
"7",1,2,NA,NA,NA
"7",1,3,NA,NA,NA
"7",1,4,NA,NA,NA
"7",1,5,NA,NA,NA
"5",1,1,"no_known_contact_chnd",0,0
"5",1,2,NA,NA,NA
"5",1,3,NA,NA,NA
"5",1,4,NA,NA,NA
"5",1,5,NA,NA,NA
"4",1,1,"mental_health_services_chnd",0,0
"4",1,2,NA,NA,NA
"4",1,3,NA,NA,NA
"4",1,4,NA,NA,NA
"4",1,5,NA,NA,NA
"1",1,1,"homeless_rse",0,0
"1",1,2,NA,NA,NA
"1",1,3,NA,NA,NA
"1",1,4,NA,NA,NA
"1",1,5,NA,NA,NA
