"","eip"
"1",0.35
"2",0.5
"3",0.2
"4",0.03
"5",0.17
"6",0.11
"7",0.19
"8",0.17
"9",0.31
"10",0.13
"11",0.13
"12",0.19
"13",0.51
"14",0.22
"15",0.31
"16",0.13
"17",0.21
"18",0.19
"19",0.32
"20",0.33
"21",0.43
"22",0.28
"23",0.21
"24",0.23
"25",0.43
"26",0.16
"27",0.42
"28",0.14
"29",0.22
"30",0.31
"31",0.11
"32",0.22
"33",0.31
"34",0.43
"35",0.49
"36",0.16
"37",0.14
"38",0.44
"39",0.1
"40",1
"41",0.14
"42",0.23
"43",0.2
"44",0.58
"45",0.05
"46",0.19
"47",0.17
"48",0.28
"49",0.29
"50",0.86
"51",0.2
"52",0.22
"53",0.18
"54",0.22
"55",0.18
"56",0.39
"57",0.23
"58",0.19
"59",0.35
"60",0.33
"61",0.19
"62",0.2
"63",0.24
"64",0.14
"65",0.41
"66",1
"67",0.13
"68",0.18
"69",0.2
"70",0.18
"71",0.32
"72",0.29
"73",0.16
"74",0.14
"75",0.23
"76",0.16
"77",0.7
"78",0.87
"79",0.29
"80",0.27
"81",0.24
"82",0.19
"83",0.16
"84",0.39
"85",0.25
"86",0.2
"87",0.13
"88",0.45
"89",1
"90",1
"91",0.76
"92",0.14
"93",0.15
"94",0.19
"95",0.31
"96",0.19
"97",0.41
"98",0.23
"99",0.12
"100",0.09
"101",0.18
"102",0.96
"103",0.95
"104",0.32
"105",0.99
"106",0.19
"107",0.18
"108",0.2
"109",0.35
"110",0.47
"111",0.74
"112",0.33
"113",0.41
"114",0.45
"115",0.37
"116",0.99
"117",0.86
"118",0.42
"119",0.99
"120",0.78
"121",0.26
"122",0.17
"123",0.11
"124",0.23
"125",0.12
"126",0.23
"127",0.31
"128",0.15
"129",0.11
"130",0.45
"131",0.94
"132",0.28
"133",0.88
"134",1
"135",0.34
"136",0.52
"137",0.51
"138",0.25
"139",0.29
"140",0.62
"141",0.16
"142",0.21
"143",0.16
"144",0.3
"145",0.16
"146",0.33
"147",0.16
"148",0.26
"149",0.33
"150",0.31
"151",0.32
"152",0.24
"153",0.21
"154",0.76
"155",0.32
"156",0.22
"157",0.39
"158",0.26
"159",0.41
"160",0.12
"161",0.22
"162",0.14
"163",0.12
"164",0.15
"165",0.19
"166",0.32
"167",0.29
"168",0.29
"169",0.56
"170",0.12
"171",0.23
"172",0.56
"173",0.15
"174",0.25
"175",0.36
"176",0.14
"177",0.18
"178",0.19
"179",0.15
"180",0.34
"181",0.25
"182",0.39
"183",0.58
"184",0.37
"185",0.35
"186",0.13
"187",0.18
"188",0.19
"189",0.28
"190",0.61
"191",0.32
"192",0.15
"193",0.24
"194",0.28
"195",0.1
"196",0.17
"197",0.2
"198",0.14
"199",0.19
"200",0.29
"201",0.23
"202",0.15
"203",0.3
"204",0.07
"205",0.15
"206",0.11
"207",0.21
"208",0.67
"209",0.76
"210",0.21
"211",0.46
"212",0.15
"213",0.37
"214",0.24
"215",0.37
"216",0.35
"217",0.34
"218",0.36
"219",0.15
"220",0.49
"221",0.21
"222",0.5
"223",0.63
"224",0.17
"225",0.32
"226",0.23
"227",0.25
"228",0.72
"229",0.27
"230",0.38
"231",0.21
"232",0.34
"233",0.19
"234",0.88
"235",0.12
"236",0.55
"237",0.22
"238",0.21
"239",0.4
"240",0.19
"241",0.08
"242",0.3
"243",0.11
"244",0.1
"245",0.47
"246",0.14
"247",0.2
"248",0.17
"249",0.17
"250",0.4
"251",0.56
"252",0.77
"253",0.18
"254",0.14
"255",0.17
"256",0.42
"257",0.26
"258",0.16
"259",0.69
"260",0.4
"261",0.27
"262",0.97
"263",0.25
"264",0.25
"265",0.21
"266",0.26
"267",0.43
"268",0.2
"269",0.29
"270",0.23
"271",0.73
"272",0.2
"273",0.22
"274",0.44
"275",0.26
"276",0.51
"277",0.32
"278",0.17
"279",0.35
"280",0.39
"281",0.14
"282",0.42
"283",0.42
"284",0.17
"285",0.36
"286",0.46
"287",0.14
"288",0.4
"289",0.5
"290",0.12
"291",0.3
"292",0.22
"293",0.2
"294",0.18
"295",0.79
"296",0.24
"297",0.91
"298",0.55
"299",0.52
"300",0.28
"301",0.43
"302",0.18
"303",0.6
"304",0.25
"305",0.29
"306",0.31
"307",0.21
"308",0.15
"309",0.53
"310",0.19
"311",0.44
"312",0.14
"313",0.24
"314",0.23
"315",0.2
"316",0.14
"317",0.2
"318",0.43
"319",0.42
"320",0.34
"321",0.24
"322",0.33
"323",0.24
"324",0.32
"325",0.2
"326",0.26
"327",0.27
"328",0.6
"329",0.14
"330",0.3
"331",0.3
"332",0.2
"333",0.25
"334",0.43
"335",0.2
"336",0.16
"337",0.15
"338",0.26
"339",0.08
"340",0.2
"341",0.33
"342",0.18
"343",0.66
"344",0.13
"345",0.41
"346",0.39
"347",0.42
"348",0.36
"349",0.61
"350",0.43
"351",0.3
"352",0.73
"353",0.32
"354",0.57
"355",0.15
"356",0.12
"357",0.16
"358",0.18
"359",0.14
"360",0.23
"361",0.28
"362",0.14
"363",0.69
"364",0.61
"365",0.4
"366",0.38
"367",0.25
"368",0.5
"369",0.34
"370",0.34
"371",0.69
"372",0.2
"373",0.29
"374",0.33
"375",0.18
"376",0.19
"377",0.66
"378",0.7
"379",0.64
"380",0.21
"381",0.59
"382",0.33
"383",0.27
"384",0.3
"385",0.3
"386",0.19
"387",0.13
"388",0.42
"389",0.19
"390",0.97
"391",0.11
"392",0.13
"393",0.19
"394",0.12
"395",0.21
"396",0.19
"397",0.67
"398",0.48
"399",0.25
"400",0.42
"401",0.32
"402",0.3
"403",0.32
"404",0.25
"405",0.22
"406",0.67
"407",0.47
"408",0.27
"409",0.14
"410",0.2
"411",0.34
"412",0.4
"413",0.12
"414",0.57
"415",0.2
"416",0.13
"417",0.29
"418",0.16
"419",0.41
"420",0.12
"421",0.17
"422",0.14
"423",0.28
"424",0.09
"425",0.15
"426",0.13
"427",0.34
"428",0.5
"429",0.17
"430",0.2
"431",0.11
"432",0.24
"433",0.14
"434",0.26
"435",0.24
"436",0.41
"437",0.14
"438",0.21
"439",0.37
"440",0.26
"441",0.26
"442",0.48
"443",0.28
"444",0.27
"445",0.2
"446",0.23
"447",0.22
"448",0.17
"449",0.24
"450",0.4
"451",0.51
"452",0.16
"453",0.3
"454",0.51
"455",0.67
"456",0.14
"457",0.45
"458",0.18
"459",0.27
"460",0.21
"461",0.17
"462",0.35
"463",0.24
"464",0.4
"465",0.2
"466",0.17
"467",0.38
"468",0.29
"469",0.17
"470",0.22
"471",0.19
"472",0.45
"473",0.31
"474",0.15
"475",0.06
"476",0.88
"477",0.98
"478",0.64
"479",0.29
"480",0.97
"481",0.54
"482",0.2
"483",0.39
"484",0.35
"485",0.14
"486",0.44
"487",0.8
"488",0.08
"489",0.35
"490",0.25
"491",0.22
"492",0.12
"493",0.82
"494",0.82
"495",0.17
"496",0.36
"497",0.09
"498",0.22
"499",0.6
"500",0.17
"501",0.66
"502",0.61
"503",0.29
"504",0.32
"505",0.64
"506",0.15
"507",0.5
"508",0.12
"509",0.13
"510",0.16
"511",0.08
"512",0.31
"513",0.15
"514",0.44
"515",0.2
"516",0.21
"517",0.24
"518",0.12
"519",0.58
"520",0.14
"521",0.23
"522",0.17
"523",0.23
"524",0.19
"525",0.42
"526",0.1
"527",0.48
"528",0.12
"529",0.19
"530",0.36
"531",0.17
"532",0.45
"533",0.33
"534",0.09
"535",0.16
"536",0.34
"537",0.21
"538",0.23
"539",0.13
"540",0.26
"541",0.21
"542",0.18
"543",0.43
"544",0.16
"545",0.19
"546",0.24
"547",0.25
"548",0.18
"549",0.19
"550",0.46
"551",0.21
"552",0.25
"553",0.2
"554",0.44
"555",0.16
"556",0.22
"557",0.5
"558",0.2
"559",0.62
"560",0.22
"561",0.44
"562",0.25
"563",0.41
"564",0.51
"565",0.22
"566",0.29
"567",0.24
"568",0.75
"569",0.21
"570",0.3
"571",0.2
"572",0.23
"573",0.54
"574",0.24
"575",0.23
"576",0.21
"577",0.14
"578",0.32
"579",0.13
"580",0.37
"581",0.8
"582",0.13
"583",0.48
"584",0.28
"585",0.2
"586",0.16
"587",0.28
"588",0.57
"589",0.28
"590",0.27
"591",0.13
"592",0.13
"593",0.2
"594",0.94
"595",0.28
"596",0.35
"597",0.26
"598",0.47
"599",0.24
"600",0.09
"601",0.16
"602",0.14
"603",0.15
"604",0.5
"605",0.25
"606",0.36
"607",0.27
"608",0.19
"609",0.46
"610",0.19
"611",0.19
"612",0.17
"613",0.23
"614",0.51
"615",0.43
