"variable","community","degree","closeness","betweenness","strength","source"
"MELOXICAM_TAB.15MG",119,0,NA,0,0,"PIS"
"OTEX_EAR.DPS.5.",118,0,NA,0,0,"PIS"
"TWINRIX.ADULT_VAC.720U.20MCG.ML.1ML.PFS",117,0,NA,0,0,"PIS"
"CLEMENT.CLARKE.STND.RANGE.PEAK.FLOW.METER.HAND.HELD",116,0,NA,0,0,"PIS"
"HYDROCORT_CRM.0.5.",115,0,NA,0,0,"PIS"
"F172_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.TOBACCO.DEPENDENCE.SYNDROME",114,0,NA,0,0,"SMR"
"EPADERM.OINT",113,0,NA,0,0,"PIS"
"R092_RESPIRATORY.ARREST",112,0,NA,0,0,"SMR"
"FERR.FUMAR_TAB.322MG",111,0,NA,0,0,"PIS"
"W189_OTHER.FALL.ON.SAME.LEVEL.IN.UNSPECIFIED.PLACE",110,0,NA,0,0,"SMR"
"TUBIGRIP.6.75CM.X.0.5M.STKNTTE.ELASCTD.TUBLR.BAND",109,0,NA,0,0,"PIS"
"mc_stomach_problems_gastritis",108,0,NA,0,0,"NDRDD"
"TERBINAFINE.HCL_CRM.1.",107,0,NA,0,0,"PIS"
"CELEBREX_CAP.100MG",106,1,1,0,1,"PIS"
"CELECOXIB_CAP.100MG",106,1,1,0,1,"PIS"
"BUPRENORPHINE_TAB.SUBLING.2MG.S.F",105,1,1,0,1,"PIS"
"BUPRENORPHINE_TAB.SUBLING.8MG.S.F",105,1,1,0,1,"PIS"
"MOTILIUM.10_TAB.10MG",104,1,1,0,1,"PIS"
"BUCCASTEM.M_TAB.3MG",104,1,1,0,1,"PIS"
"IBUPROFEN_TAB.600MG",103,1,1,0,1,"PIS"
"DERMOVATE_OINT.0.05.",103,1,1,0,1,"PIS"
"DERMOL.200_SHOWER.EMOLLIENT",102,1,1,0,1,"PIS"
"DERMOL_CRM",102,1,1,0,1,"PIS"
"ALGESAL_CRM.10.",101,1,1,0,1,"PIS"
"MAG.SULF_PASTE",101,1,1,0,1,"PIS"
"SYMBICORT_TURBOHALER.200MCG.6MCG..120.D.",100,0,NA,0,0,"PIS"
"LEVETIRACETAM_TAB.500MG",99,1,1,0,1,"PIS"
"LEVETIRACETAM_TAB.250MG",99,1,1,0,1,"PIS"
"NAPROXEN_TAB.250MG",98,1,1,0,1,"PIS"
"NAPROXEN_TAB.E.C.250MG",98,1,1,0,1,"PIS"
"VENLALIC.XL_TAB.225MG",97,2,0.5,1.27693372458583e-06,2,"PIS"
"XYLOMET.HCL_NSL.DPS.0.1.",97,1,0.333333333333333,0,1,"PIS"
"VENLAFAXINE_TAB.225MG.M.R",97,1,0.333333333333333,0,1,"PIS"
"PROCTOSEDYL_OINT",96,1,1,0,1,"PIS"
"PROCTOSEDYL_SUPPOS",96,1,1,0,1,"PIS"
"DIPROBASE_CRM",95,5,0.000132432790358893,0.0106449881578782,5,"PIS"
"EUMOVATE_CRM.0.05.",95,4,0.000125897016240715,0.0103715064221477,4,"PIS"
"CLOBET.BUT_CRM.0.05.",95,4,0.000124440019910403,0.00670039553818518,4,"PIS"
"IMPLANON_IMPLANT.68MG",95,4,0.000139997200055999,0.0126558813066609,4,"PIS"
"OPTICROM_ALLERGY.EYE.DPS.2.",95,3,0.000128303823453939,0.00784603740282532,3,"PIS"
"NEXPLANON_IMPLANT.68MG",95,3,0.000133886731824876,0.00686540988460702,3,"PIS"
"BETAMETH.VAL_CRM.0.025...1.IN.4.",95,2,0.000114889705882353,0.00147485845189663,2,"PIS"
"CLOBET.BUT_OINT.0.05.",95,2,0.000110363094581172,0.00148805601228017,2,"PIS"
"EUMOVATE_OINT.0.05.",95,2,0.000101512536798295,0.000642600733292223,2,"PIS"
"MOMETASONE.FUR_OINT.0.1.",95,2,0.000102891243955139,0.000776874792662122,2,"PIS"
"HYDROCORT_CRM.1.",95,1,0.000114863312657937,0,1,"PIS"
"EPADERM.CRM",95,1,0.00010991426687184,0,1,"PIS"
"BETNOVATE.RD_CRM.0.025.",95,1,0.000101430165331169,0,1,"PIS"
"NICORETTE_PATCH.15MG.16HRS",94,1,1,0,1,"PIS"
"NICORETTE_PATCH.10MG.16HRS",94,1,1,0,1,"PIS"
"SUBOXONE_TAB.SUBLING.8MG.2MG",93,3,0.000111669458403127,0.00441946762079155,3,"PIS"
"SUBUTEX_TAB.SUBLING.8MG",93,2,9.89315393747527e-05,0.00147485845189663,2,"PIS"
"SUBOXONE_TAB.SUBLING.2MG.0.5MG",93,1,9.89119683481701e-05,0,1,"PIS"
"SUBUTEX_TAB.SUBLING.2MG",93,1,8.87862913966084e-05,0,1,"PIS"
"VARENICLINE.TART_TAB.1MG",92,5,0.00011936022917164,0.00735577672047665,5,"PIS"
"CHAMPIX_TAB.1MG",92,3,9.36154278225052e-05,1.91540058687874e-06,3,"PIS"
"CHAMPIX_2WK.TT.INIT.PACK..TAB.0.5MG.1MG.",92,2,0.00010492078480747,0.000490768194815828,2,"PIS"
"VARENICLINE.TART_2WK.INIT.TAB.0.5MG.1MG.",92,2,0.00010492078480747,0.000490768194815828,2,"PIS"
"CHAMPIX_TITRATION.PACK..TAB.0.5MG.1MG.",92,2,0.00010492078480747,0.000490768194815828,2,"PIS"
"VARENICLINE.TART_TI.P..TAB.0.5MG.1MG.",92,1,0.00010489877268436,0,1,"PIS"
"NICORETTE.INVISI_PATCH.25MG.16HRS",91,4,0.000136332651670075,0.0121856251829241,4,"PIS"
"NICOTINELL.TTS.30_PATCH.21MG.24HRS",91,4,0.000139742873113471,0.0092864514951434,4,"PIS"
"NICORETTE_INHALATOR...INH.CART.10MG",91,3,0.000135098621994056,0.00767091555566112,3,"PIS"
"NIQUITIN_PATCH.21MG.24HRS..STEP.1.",91,3,0.000108861310690181,0.0026509383979131,3,"PIS"
"NIQUITIN.CLR_PATCH.21MG.24HRS.STEP.1.",91,3,0.000105529759392149,0.00195966845244825,3,"PIS"
"NIQUITIN_PATCH.14MG.24HRS..STEP.2.",91,2,9.67211529161428e-05,0.000310657524732846,2,"PIS"
"NIQUITIN.CLR_PATCH.14MG.24HRS.STEP.2.",91,2,0.000114521300961979,0.00245430681312479,2,"PIS"
"NIQUITIN_PATCH.7MG.24HRS..STEP.3.",91,2,9.40822278671559e-05,0.000166185315433893,2,"PIS"
"NICORETTE_INHALATOR...INH.CART.15MG",91,2,0.00012093360744951,0.00359364818056307,2,"PIS"
"NICOTINELL.TTS.20_PATCH.14MG.24HRS",91,1,0.000120322464204067,0,1,"PIS"
"DICLOFENAC.SOD_TAB.E.C.25MG",90,0,NA,0,0,"PIS"
"DALTEPARIN.SOD_INJ.25.000U.ML.0.5ML.PFS",89,1,1,0,1,"PIS"
"FRAGMIN_INJ.25.000U.ML.0.5ML.PFS",89,1,1,0,1,"PIS"
"AQ_CRM",88,0,NA,0,0,"PIS"
"OMEPRAZOLE_CAP.E.C.20MG",87,6,0.000152928582352042,0.0362189806016757,6,"PIS"
"BETNOVATE_SCALP.APPLIC.0.1.",87,4,0.000117096018735363,0.00463114018241162,4,"PIS"
"TYROZETS_LOZ",87,3,0.000136761487964989,0.0101546500241831,3,"PIS"
"KETOCONAZOLE_SHAMPOO.2.",87,3,0.00013430029546065,0.00730316552114449,3,"PIS"
"ZOVIRAX_COLD.SORE.CRM.5.",87,3,0.000122835032551284,0.0053605589389114,3,"PIS"
"BLISTEX_RELIEF.CRM",87,3,0.000114233493260224,0.0024829025518211,3,"PIS"
"PROCHLPZINE.MAL_TAB.5MG",87,2,0.000104405930256839,0.000566631785554411,2,"PIS"
"CARBAMAZEPINE_TAB.100MG",87,2,0.000123808344682432,0.00129574613493932,2,"PIS"
"CARBAMAZEPINE_TAB.200MG",87,2,0.000126518218623482,0.00151924851337711,2,"PIS"
"METOCLOPRAMIDE.HCL_TAB.10MG",87,2,0.000106089539571398,0.000749340707948901,2,"PIS"
"OMEPRAZOLE_CAP.E.C.10MG",87,1,0.000129971406290616,0,1,"PIS"
"BETACAP_SCALP.APPLIC.0.1.",87,1,0.000103145951521403,0,1,"PIS"
"METHADONE.HCL_LINCT.2MG.5ML",87,1,0.000103145951521403,0,1,"PIS"
"SALBUTAMOL_INHA.200MCG..100D.",86,2,0.166666666666667,5.10773489834331e-06,2,"PIS"
"SALBUTAMOL_PDR.FOR.INH.200MCG..60.D.",86,2,0.142857142857143,3.83080117375748e-06,2,"PIS"
"CONVATEC_ORABASE.PASTE.30G",86,2,0.142857142857143,3.83080117375748e-06,2,"PIS"
"NASEPTIN_CRM",86,1,0.1,0,1,"PIS"
"VENTOLIN_ACCUHALER.200MCG..60.D.",86,1,0.1,0,1,"PIS"
"MOMETASONE.FUR_CRM.0.1.",85,4,0.000126278570526582,0.0129704536305066,4,"PIS"
"BETNOVATE_CRM.0.1.",85,3,0.000112956060092624,0.00876715966513696,3,"PIS"
"BETAMETH.VAL_CRM.0.1.",85,3,1e-04,0.00588921833778983,3,"PIS"
"LYCLEAR_DERMAL.CRM.5.",85,2,0.000112447992803328,0.00243927456343053,2,"PIS"
"HYDROXYZINE.HCL_TAB.10MG",85,2,0.000110229276895944,0.00147485845189663,2,"PIS"
"PERMETHRIN_CRM.5.",85,2,0.000107584722969338,0.00203386593645421,2,"PIS"
"OILATUM_CRM",85,2,8.96619743566753e-05,0.00147485845189663,2,"PIS"
"DERMOVATE_CRM.0.05.",85,2,8.96619743566753e-05,0.00147485845189663,2,"PIS"
"HYDROCORT_OINT.1.",85,1,8.124796880078e-05,0,1,"PIS"
"ATARAX_TAB.10MG",85,1,9.77803852547179e-05,0,1,"PIS"
"CLOBETASOL.PROP_CRM.0.05.",85,1,8.124796880078e-05,0,1,"PIS"
"ELOCON_CRM.0.1.",85,1,0.000110204981265153,0,1,"PIS"
"FUSIDIC.ACID_CRM.2.",84,1,1,0,1,"PIS"
"FUCIDIN.H_CRM",84,1,1,0,1,"PIS"
"METHADONE.HCL_MIX.1MG.1ML",83,10,0.000171232876712329,0.0868270680753617,10,"PIS"
"PARACET_TAB.500MG",83,7,0.000155642023346304,0.0345045723144693,7,"PIS"
"CO.CODAMOL_TAB.30MG.500MG",83,6,0.000142045454545455,0.0117399639934588,6,"PIS"
"DICLOFENAC.SOD_TAB.E.C.50MG",83,5,0.000142531356898518,0.0188564450471594,5,"PIS"
"IBUPROFEN_TAB.400MG",83,5,0.000152928582352042,0.0192899334276786,5,"PIS"
"CO.CODAMOL_TAB.8MG.500MG",83,5,0.000138255219134522,0.0211316421448785,5,"PIS"
"IBUPROFEN_TAB.200MG",83,4,0.000138946783381965,0.00728468263310756,4,"PIS"
"CO.CODAMOL_CAP.30MG.500MG",83,3,0.000129433083096039,0.00600888719602747,3,"PIS"
"EURAX_CRM.10.",83,3,0.000131821776957553,0.00565258464326292,3,"PIS"
"CO.CODAMOL_CAP.8MG.500MG",83,3,0.000130753138075314,0.00831331783845727,3,"PIS"
"RISPERIDONE_TAB.500MCG",83,3,0.000122579063495955,0.00694930333806255,3,"PIS"
"CO.CODAMOL_TAB.15MG.500MG",83,2,0.00012685525815045,0.00208352011953658,2,"PIS"
"CODIPAR_TAB.15MG.500MG",83,2,0.000125250501002004,0.00195241708222874,2,"PIS"
"PARACET_CAP.500MG",83,1,0.000131926121372032,0,1,"PIS"
"CROTAMITON_CRM.10.",83,1,0.000114403386340236,0,1,"PIS"
"PEPTAC_LIQ..ANISEED..S.F",82,6,0.000136668033347,0.0143920606556497,6,"PIS"
"BROLENE_EYE.DPS.0.1.",82,5,0.000137381508448963,0.0139533181982635,5,"PIS"
"LYMECYCLINE_CAP.408MG",82,4,0.000122189638318671,0.00352049743234392,4,"PIS"
"GLYCEROL.LEM.HONEY...GLUCOSE_SYR",82,4,0.000127877237851662,0.00522286508829033,4,"PIS"
"MIGRALEVE.COMPLETE_TAB",82,3,0.000123747061007301,0.00377596285347877,3,"PIS"
"TERBINAFINE.HCL_TAB.250MG",82,3,0.000120148984741079,0.00142431652283763,3,"PIS"
"CALAMINE.AQ_CRM",82,3,0.00013444474321054,0.00534764679407921,3,"PIS"
"ZINERYT_LOT",82,3,0.000123198225945546,0.00271644671294366,3,"PIS"
"MUCOGEL_SUSP.195MG.220MG.5ML.S.F",82,3,0.000120307988450433,0.00445462501788079,3,"PIS"
"MIGRALEVE_PINK.TAB",82,2,0.000112321689318207,0.000989515174199003,2,"PIS"
"PAROXETINE.HCL_TAB.20MG",82,2,0.000111111111111111,0.00084141597153649,2,"PIS"
"BONJELA_COOL.MINT.GEL.8.7..S.F",82,2,0.000115673799884326,0.00053545888485134,2,"PIS"
"TETRALYSAL.300_CAP",82,2,0.000112866817155756,0,2,"PIS"
"MAALOX_SUSP.195MG.220MG.5ML.S.F",82,2,0.000105652403592182,0.00147485845189663,2,"PIS"
"PAROXETINE.HCL_TAB.30MG",82,2,0.00011937447773666,0.00161783103032252,2,"PIS"
"CLINDAMYCIN.HCL_CAP.150MG",82,1,0.000116373792621902,0,1,"PIS"
"MEPORE.ULTRA.7CM.X.8CM.VP.ADH.FILM.DRESS",82,1,0.00011142061281337,0,1,"PIS"
"DUAC_ONCE.DAILY.GEL..5..AND.1..",82,1,0.000107077845593747,0,1,"PIS"
"XYLOMET.HCL_NSL.SPY.0.1..10ML",82,1,9.41619585687382e-05,0,1,"PIS"
"CETIRIZINE.HCL_TAB.10MG",81,9,0.000126055716626749,0.0147918744020203,9,"PIS"
