variable,community,degree,closeness,betweenness,strength,source,Label,Group
lw_own_home,1,14,0.000137419,0.007637273,14,NDRDD,DRD database,Substance use related
cp_methadone,1,13,0.00015321,0.025349374,13,NDRDD,,
cp_not_currently_prescribed_a_substitute_drug,1,13,0.000138447,0.005149253,13,NDRDD,,
idu_heroin,1,11,0.000152439,0.019983793,11,NDRDD,,
lw_homeless_accomodation,1,11,0.000123396,0.001888517,11,NDRDD,,
td_etizolam,1,11,0.000138408,0.014187126,11,NDRDD,,
cha_prison_healthcare,1,10,0.000140726,0.011132637,10,NDRDD,,
idu_diazepam_non_prescribed,1,10,0.000143575,0.005498076,10,NDRDD,,
lw_supported_accomodation,1,10,0.000134409,0.004339379,10,NDRDD,,
lww_with_spouse_partner,1,10,0.00011956,0.00126333,10,NDRDD,,
pdu_others_home,1,10,0.000142106,0.005567931,10,NDRDD,,
cha_gp,1,9,0.000153539,0.015782021,9,NDRDD,,
cha_statutory_addiction_service,1,9,0.000152929,0.012547986,9,NDRDD,,
edu_injecting,1,9,0.000142268,0.005536323,9,NDRDD,,
lw_relative_s_home,1,9,0.000127307,0.000822072,9,NDRDD,,
lww_living_alone,1,9,0.000119531,0.000453563,9,NDRDD,,
lww_with_friends,1,9,0.000119546,0.001037437,9,NDRDD,,
pdu_own_home,1,9,0.000142045,0.005149275,9,NDRDD,,
td_diazepam,1,9,0.000153374,0.015878164,9,NDRDD,,
td_heroin_morphine,1,9,0.000142369,0.005808819,9,NDRDD,,
cha_a_e,1,8,0.000149098,0.014277263,8,NDRDD,,
es_unemployed,1,8,0.000141623,0.009046841,8,NDRDD,,
idu_dihydrocodeine,1,8,0.000140805,0.008253191,8,NDRDD,,
lw_hostel,1,8,0.000121699,0.00063536,8,NDRDD,,
lw_no_fixed_abode,1,8,0.000123274,0.001083847,8,NDRDD,,
lww_with_parents,1,8,0.000119904,0.000147631,8,NDRDD,,
lww_with_relatives,1,8,0.000119517,0.000373623,8,NDRDD,,
td_nordiazepam,1,8,0.000143637,0.009270999,8,NDRDD,,
aa_no_known_treatment,1,7,0.000147059,0.01517475,7,NDRDD,,
cha_psychiatric_services,1,7,0.000143225,0.012980006,7,NDRDD,,
cp_suboxone,1,7,0.000128107,0.006356694,7,NDRDD,,
es_employed_paid_unpaid,1,7,0.000132979,0.000961451,7,NDRDD,,
idu_cannabis,1,7,0.000132767,0.002123619,7,NDRDD,,
idu_cocaine,1,7,0.000134318,0.004807847,7,NDRDD,,
idu_crack_cocaine,1,7,0.000137457,0.011526995,7,NDRDD,,
idu_ecstasy_mdma,1,7,0.000120685,0.002018087,7,NDRDD,,
idu_temazepam_non_prescribed,1,7,0.000127747,0.002970982,7,NDRDD,,
sod_naloxone_take_home,1,7,0.000139606,0.006787563,7,NDRDD,,
td_methadone,1,7,0.000143988,0.002959029,7,NDRDD,,
cha_social_work_services,1,6,0.000136314,0.005552392,6,NDRDD,,
edu_oral_consumption,1,6,0.000131874,0.002140908,6,NDRDD,,
idu_amphetamines,1,6,0.000124177,0.002349275,6,NDRDD,,
idu_volatile_substances,1,6,0.000114286,0.002997009,6,NDRDD,,
lw_friend_s_home,1,6,0.000122534,0.000266555,6,NDRDD,,
td_cocaine,1,6,0.000127129,0.010020736,6,NDRDD,,
td_codeine,1,6,0.000130174,0.002281549,6,NDRDD,,
aa_inpatient_detoxification_and_residential_community_rehabilitation,1,5,0.000143164,0.004319185,5,NDRDD,,
