"","x"
"es_full_time_education_training",57
"mc_arthritis",90
"F339_RECURRENT.DEPRESSIVE.DISORDER..UNSPECIFIED",265
"B349_VIRAL.INFECTION..UNSPECIFIED",369
"R798_OTHER.SPECIFIED.ABNORMAL.FINDINGS.OF.BLOOD.CHEMISTRY",372
"S014_OPEN.WOUND.OF.CHEEK.AND.TEMPOROMANDIBULAR.AREA",431
"J960_ACUTE.RESPIRATORY.FAILURE",462
"BACTROBAN_CRM.2.",467
"AQ_CRM",531
"DICLOFENAC.SOD_TAB.E.C.25MG",589
"SYMBICORT_TURBOHALER.200MCG.6MCG..120.D.",804
"TERBINAFINE.HCL_CRM.1.",920
"mc_stomach_problems_gastritis",928
"TUBIGRIP.6.75CM.X.0.5M.STKNTTE.ELASCTD.TUBLR.BAND",967
"W189_OTHER.FALL.ON.SAME.LEVEL.IN.UNSPECIFIED.PLACE",979
"FERR.FUMAR_TAB.322MG",1048
"R092_RESPIRATORY.ARREST",1052
"EPADERM.OINT",1068
"F172_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.TOBACCO.DEPENDENCE.SYNDROME",1069
"HYDROCORT_CRM.0.5.",1140
"CLEMENT.CLARKE.STND.RANGE.PEAK.FLOW.METER.HAND.HELD",1167
"TWINRIX.ADULT_VAC.720U.20MCG.ML.1ML.PFS",1169
"OTEX_EAR.DPS.5.",1200
"MELOXICAM_TAB.15MG",1207
