"","x"
"rse_bereavement",3
"rse_jobloss",5
"rse_assaulted",9
"rse_arrested",10
"rse_anniversary",12
"rse_ill_fam",14
"cha_specialist_drug_service_private",45
"cha_voluntary_throughcare",50
"mc_obesity",120
"mc_sensory_impairment",123
"op_carbamazepine",127
"pc_autism_aspergers",142
"td_phenazepam",195
"td_zolpidem",205
"L721_TRICHILEMMAL.CYST",210
"Z530_PROCEDURE.NOT.CARRIED.OUT.BECAUSE.OF.CONTRAINDICATION",215
"K259_GASTRIC.ULCER..UNSPEC.AS.ACUTE.OR.CHRONIC..WITHOUT.HAEMORRHAGE.PERFORATION",224
"J981_PULMONARY.COLLAPSE",261
"Z538_PROCEDURE.NOT.CARRIED.OUT.FOR.OTHER.REASONS",343
"L720_EPIDERMAL.CYST",351
"K922_GASTROINTESTINAL.HAEMORRHAGE..UNSPECIFIED",367
"T598_TOXIC.EFFECT.OF.OTHER.SPECIFIED.GASES..FUMES.AND.VAPOURS",370
"G629_POLYNEUROPATHY..UNSPECIFIED",390
"J181_LOBAR.PNEUMONIA..UNSPECIFIED",392
"K701_ALCOHOLIC.HEPATITIS",394
"Z865_PERSONAL.HISTORY.OF.OTHER.MENTAL.AND.BEHAVIOURAL.DISORDERS",398
"Z721_ALCOHOL.USE",414
"Z004_GENERAL.PSYCHIATRIC.EXAMINATION..NOT.ELSEWHERE.CLASSIFIED",416
"Z991_DEPENDENCE.ON.RESPIRATOR",423
"Z470_FOLLOW.UP.CARE.INVOLV.REMOVAL.OF.FRACTURE.PLATE...OTH.INT.FIXATION.DEVICE",440
"F419_ANXIETY.DISORDER..UNSPECIFIED",441
"S6230_CLOSED.FRACTURE.OF.OTHER.METACARPAL.BONE",444
"M545_LOW.BACK.PAIN",473
"W229_STRIKING.AGAINST.OR.STRUCK.BY.OTHER.OBJECTS.IN.UNSPECIFIED.PLACE",481
"S4200_CLOSED.FRACTURE.OF.CLAVICLE",482
"R458_OTHER.SYMPTOMS.AND.SIGNS.INVOLVING.EMOTIONAL.STATE",484
"F190_ACUTE.INTOX.DUE.TO.MULTIPLE.DRUG.USE.AND.USE.OF.PSYCHOACTIVE.SUBSTANCES",500
"F195_PSYCHOTIC.DISORDER.DUE.TO.MULT.DRUG.PSYCHOACTIVE.SUBSTANCE.USE",504
"Z861_PERSONAL.HISTORY.OF.INFECTIOUS.AND.PARASITIC.DISEASES",523
"S6260_CLOSED.FRACTURE.OF.OTHER.FINGER",526
"S2700_TRAUMATIC.PNEUMOTHORAX.WITHOUT.OPEN.WOUND.ITO.THORACIC.CAVITY",530
"F320_MILD.DEPRESSIVE.EPISODE",534
"R91X_ABNORMAL.FINDINGS.ON.DIAGNOSTIC.IMAGING.OF.LUNG",540
"W100_FALL.ON.AND.FROM.STAIRS.AND.STEPS.AT.HOME",542
"R451_RESTLESSNESS.AND.AGITATION",548
"Y919_ALCOHOL.INVOLVEMENT..NOT.OTHERWISE.SPECIFIED",549
"F29X_UNSPECIFIED.NONORGANIC.PSYCHOSIS",558
"R402_COMA..UNSPECIFIED",563
"K30X_FUNCTIONAL.DYSPEPSIA",568
"F059_DELIRIUM..UNSPECIFIED",569
"R000_TACHYCARDIA..UNSPECIFIED",577
"I471_SUPRAVENTRICULAR.TACHYCARDIA",580
"R002_PALPITATIONS",589
"K409_UNILATERAL.OR.UNSPECIFIED.INGUINAL.HERNIA..WITHOUT.OBSTRUCTION.OR.GANGRENE",593
"Z630_PROBLEMS.IN.RELATIONSHIP.WITH.SPOUSE.OR.PARTNER",596
"S8220_CLOSED.FRACTURE.OF.SHAFT.OF.TIBIA",608
"R160_HEPATOMEGALY..NOT.ELSEWHERE.CLASSIFIED",611
"J069_ACUTE.UPPER.RESPIRATORY.INFECTION..UNSPECIFIED",613
"F1002_MENTAL.BEHAVIOUR.DIS.DUE.TO.ALCOHOL.ACUTE.INTOX.OTH.MEDICAL.COMPLICATIONS",615
"ACICLOVIR_TAB.200MG",622
"CERAZETTE_TAB.75MCG",630
"ERYTHROMYCIN.STEARATE_TAB.500MG",648
"KETOPROFEN_GEL.2.5.",663
"MALATHION_AQ.LOT.0.5.",667
"PIRITON_TAB.4MG",689
"PIROXICAM_GEL.0.5.",690
"DICLOFENAC.POT_TAB.50MG",726
"LYCLEAR_CREME.RINSE.1.",793
"MEROCAINE_LOZ",794
"OVEX_TAB.CHBLE.100MG",798
"AMOXICILLIN_CAP.250MG",846
"NAPROXEN_TAB.E.C.500MG",866
"CYSTOPURIN_GRAN.SACH.7G..CRANBERRY.",888
"RANITIDINE.HCL_TAB.300MG",945
"QUININE.SULF_TAB.300MG",956
"PIZOTIFEN.MALATE_TAB.1.5MG",966
"DIPROBASE_OINT",969
"MENTHOL_.S.",982
"ANUSOL_OINT",988
"BACLOFEN_TAB.10MG",991
"OCCLUSAL_SOLN.26.",995
"ANBESOL_ADULT.STRGH.GEL",1009
"ANBESOL_LIQ",1010
"MIRENA_INTRA.UTERINE.SYSTEM",1012
"EPILIM.200_TAB.E.C.200MG",1025
"ERYTHROMYCIN_ETHYLSUC.TAB.500MG",1058
"TUBIGRIP.10CM.X.1M.STKNTTE.ELASCTD.TUBLR.BAND",1068
"CETRABEN_EMOLLIENT.CRM..DRUG.",1072
"GAVISCON.ADVANCE_TAB.CHBLE.500MG.MINT",1078
"CINNARIZINE_TAB.15MG",1081
"MEPILEX.BORDER.10CM.X.12.5CM.WOUND.DRESS.SOFT.SLC",1143
"DAKTACORT.HYDROCORT_CRM",1150
"XYLOPROCT_OINT.5..0.275.",1171
"PANOXYL.2.5.AQUAGEL_GEL.2.5.",1183
"DAKTARIN_CRM.2.",1193
"OXYTETRACYCLINE_TAB.250MG",1206
"OILATUM_CRM..NEW.FORM.",1211
"ASPIRIN.DISPER_TAB.300MG",1216
"FULTIUM.D3_CAP.800U",1255
"ACICLOVIR_TAB.DISPER.200MG",1258
"VOLTAROL.EMULGEL.P_AQ.GEL.1.16.",1264
"HALOPERIDOL_CAP.500MCG",1265
"SALATAC_GEL",1276
"LOFEPRAMINE.HCL_TAB.70MG",1289
"ALIMEMAZINE.TART_TAB.10MG",1297
"BAZUKA_GEL...APPLIC",1320
"HOMEOPATHIC..PROPRIETARY.",1323
"ISPAG.HUSK_PDR.SACH.3.4G.ORANGE.S.F",1327
"SIMPLE_LINCT.PAED.S.F",1334
