"","Subsystem","Number of factors","variable","factor","degree","betweenness"
"1",6,22,1,"Control and regularityof substance use",10,0.11
"9",6,22,2,"Initiation of drug use",8,0.07
"17",6,22,3,"Physical health",8,0.02
"25",6,22,4,"Continueduse of drugs",7,0.06
"33",6,22,5,"Drug related death",7,0
"3",4,16,1,"Mental health and wellbeing",17,0.09
"11",4,16,2,"Poverty",14,0.03
"19",4,16,3,"Criminalisationof drugs",12,0.03
"27",4,16,4,"Positive future aspirations",11,0.03
"35",4,16,5,"Contact with criminaljustice system",9,0.04
"2",1,16,1,"Prevalence of stigmatisingnorms around drugs",18,0.14
"10",1,16,2,"Quality of treatment planning",6,0.01
"18",1,16,3,"Service Quality",6,0.02
"26",1,16,4,"Workforce development",4,0
"34",1,16,5,"Poor treatment of PWUD",4,0.04
"4",7,13,1,"Peer relationships",6,0
"12",7,13,2,"Drug type",6,0.02
"20",7,13,3,"Exposure to drugs",5,0.04
"28",7,13,4,"Public versus private drug taking",5,0
"36",7,13,5,"Knowledge of drugs and risk among general public",4,0
"5",2,11,1,"Attending services",9,0.01
"13",2,11,2,"Retention in services",6,0.06
"21",2,11,3,"Collaboration between services",5,0
"29",2,11,4,"Missed appointments",5,0.01
"37",2,11,5,"Internalised stigma",4,0.01
"6",5,8,1,"Trusting community relationships",12,0.03
"14",5,8,2,"Trusting family relationships",7,0.05
"22",5,8,3,"Recovery capital",5,0.02
"30",5,8,4,"Practical support",3,0
"38",5,8,5,"Community hubs",1,0
"7",3,7,1,"Policy making environment: health focussed vs criminal justice",11,0.09
"15",3,7,2,"Availability of services",5,0.01
"23",3,7,3,"Harm reductioninterventions",4,0
"31",3,7,4,"Relative value of professional versus peer evidence",3,0.07
"39",3,7,5,"Lived experience representation in policy",3,0
"8",8,5,1,"Feeling safe",6,0.01
"16",8,5,2,"Homelessness",6,0.01
"24",8,5,3,"Housing Policy",3,0
"32",8,5,4,"Quality of housing",3,0
"40",8,5,5,"Risk ofcrime victimisation",3,0
