"Subsystem","Number.of.factors","variable","factor","degree","betweenness","community","Label","Group"
1,110,1,"lw_own_home",14,0.01,1,"DRD database","Substance use related"
1,110,2,"cp_methadone",13,0.03,1,"DRD database","Substance use related"
1,110,3,"cp_not_currently_prescribed_a_substitute_drug",13,0.01,1,"DRD database","Substance use related"
1,110,4,"idu_heroin",11,0.02,1,"DRD database","Substance use related"
1,110,5,"lw_homeless_accomodation",11,0,1,"DRD database","Substance use related"
3,87,1,"chnd_mental_health_services",7,0.02,3,"Mental health inpatient treatment","Distinct condition"
3,87,2,"VENLAFAXINE_CAP.75MG.M.R",7,0.02,3,"Mental health inpatient treatment","Distinct condition"
3,87,3,"OLANZAPINE_TAB.10MG",7,0.01,3,"Mental health inpatient treatment","Distinct condition"
3,87,4,"pc_bi_polar_disorder",6,0.01,3,"Mental health inpatient treatment","Distinct condition"
3,87,5,"td_olanzapine",6,0.01,3,"Mental health inpatient treatment","Distinct condition"
19,82,1,"PROPRANOLOL.HCL_CAP.80MG.M.R",7,0.02,19,"Respiratory infection, depression, pain","Co-occurring conditions"
19,82,2,"CHLORHEX.GLUCON_MTHWSH.0.2.",7,0.02,19,"Respiratory infection, depression, pain","Co-occurring conditions"
19,82,3,"pc_anxiety",6,0.01,19,"Respiratory infection, depression, pain","Co-occurring conditions"
19,82,4,"J22X_UNSPECIFIED.ACUTE.LOWER.RESPIRATORY.INFECTION",6,0.02,19,"Respiratory infection, depression, pain","Co-occurring conditions"
19,82,5,"CITALOPRAM.HYDROB_TAB.10MG",6,0.01,19,"Respiratory infection, depression, pain","Co-occurring conditions"
22,77,1,"X999_ASSAULT.BY.SHARP.OBJECT.IN.UNSPECIFIED.PLACE",14,0.02,22,"Assault and self harm","Co-occurring conditions"
22,77,2,"S099_UNSPECIFIED.INJURY.OF.HEAD",13,0.02,22,"Assault and self harm","Co-occurring conditions"
22,77,3,"Y049_ASSAULT.BY.BODILY.FORCE.IN.UNSPECIFIED.PLACE",12,0.02,22,"Assault and self harm","Co-occurring conditions"
22,77,4,"X599_EXPOSURE.TO.UNSPECIFIED.FACTOR.IN.UNSPECIFIED.PLACE",10,0.01,22,"Assault and self harm","Co-occurring conditions"
22,77,5,"Y009_ASSAULT.BY.BLUNT.OBJECT.IN.UNSPECIFIED.PLACE",10,0.01,22,"Assault and self harm","Co-occurring conditions"
20,70,1,"X619_SELF.POISON.BY.ANTIEPILEP.ANTIPARK.PSYCHOTROP.DRUGS..IN.UNSPECIFIED.PLACE",12,0.03,20,"Accidental and intentional self poisoning","Substance use related"
20,70,2,"X610_INTENT.SELF.POISONING.BY.ANTIEPILEP.ANTIPARKISM..PSYCHOTROP.DRUG.AT.HOME",11,0.03,20,"Accidental and intentional self poisoning","Substance use related"
20,70,3,"T424_POISONING.BY.BENZODIAZEPINES",10,0.01,20,"Accidental and intentional self poisoning","Substance use related"
20,70,4,"T401_POISONING.BY.HEROIN",9,0.03,20,"Accidental and intentional self poisoning","Substance use related"
20,70,5,"T393_POISONING.BY.OTHER.NONSTEROIDAL.ANTI.INFLAMMATORY.DRUGS..NSAID.",8,0.02,20,"Accidental and intentional self poisoning","Substance use related"
13,63,1,"ENSURE.PLUS_MILKSHAKE.STYLE.LIQ.10.FLAV.",9,0.03,13,"Liver cirrhosis, malnourishment","Substance use related"
13,63,2,"N179_ACUTE.RENAL.FAILURE..UNSPECIFIED",8,0.02,13,"Liver cirrhosis, malnourishment","Substance use related"
13,63,3,"K703_ALCOHOLIC.CIRRHOSIS.OF.LIVER",8,0.02,13,"Liver cirrhosis, malnourishment","Substance use related"
13,63,4,"K766_PORTAL.HYPERTENSION",6,0.02,13,"Liver cirrhosis, malnourishment","Substance use related"
13,63,5,"CHLORAMPHEN_EYE.DPS.0.5.",5,0.01,13,"Liver cirrhosis, malnourishment","Substance use related"
10,56,1,"I802_PHLEBITIS.AND.THROMBOPHLEBITIS.OF.OTHER.DEEP.VESSELS.OF.LOWER.EXTREMITIES",12,0.06,10,"Phlebitis, hepatitis, mental health, substance use","Substance use related"
10,56,2,"mc_hepatitis_c",10,0.01,10,"Phlebitis, hepatitis, mental health, substance use","Substance use related"
10,56,3,"W279_CONTACT.WITH.NONPOWERED.HAND.TOOL.IN.UNSPECIFIED.PLACE",9,0.03,10,"Phlebitis, hepatitis, mental health, substance use","Substance use related"
10,56,4,"Z867_PERSONAL.HISTORY.OF.DISEASES.OF.THE.CIRCULATORY.SYSTEM",9,0.03,10,"Phlebitis, hepatitis, mental health, substance use","Substance use related"
10,56,5,"F112_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.DEPENDENT.USE.OF.OPIOIDS",8,0.06,10,"Phlebitis, hepatitis, mental health, substance use","Substance use related"
6,56,1,"op_diazepam",9,0.02,6,"Benzos and pain","Substance use related"
6,56,2,"GABAPENTIN_CAP.300MG",9,0.02,6,"Benzos and pain","Substance use related"
6,56,3,"op_mirtazapine",8,0.01,6,"Benzos and pain","Substance use related"
6,56,4,"td_gabapentin",8,0.01,6,"Benzos and pain","Substance use related"
6,56,5,"td_pregabalin",8,0.01,6,"Benzos and pain","Substance use related"
26,47,1,"FLUCLOX.SOD_CAP.500MG",7,0.02,26,"Mixed stomach, skin, antibiotics","Co-occurring conditions"
26,47,2,"SIMPLE_LINCT.S.F",7,0.01,26,"Mixed stomach, skin, antibiotics","Co-occurring conditions"
26,47,3,"DOMPERIDONE_TAB.10MG",7,0.02,26,"Mixed stomach, skin, antibiotics","Co-occurring conditions"
26,47,4,"AMOXICILLIN_CAP.500MG",6,0.02,26,"Mixed stomach, skin, antibiotics","Co-occurring conditions"
26,47,5,"OMEPRAZOLE_CAP.E.C.20MG",6,0.04,26,"Mixed stomach, skin, antibiotics","Co-occurring conditions"
33,44,1,"METHADONE.HCL_MIX.1MG.1ML",10,0.09,33,"Methadone and common prescriptions","Substance use related"
33,44,2,"PARACET_TAB.500MG",7,0.03,33,"Methadone and common prescriptions","Substance use related"
33,44,3,"CO.CODAMOL_TAB.30MG.500MG",6,0.01,33,"Methadone and common prescriptions","Substance use related"
33,44,4,"FERR.SULF_TAB.200MG",6,0.01,33,"Methadone and common prescriptions","Substance use related"
33,44,5,"F239_ACUTE.AND.TRANSIENT.PSYCHOTIC.DISORDER..UNSPECIFIED",5,0.01,33,"Methadone and common prescriptions","Substance use related"
28,43,1,"J440_CHRONIC.OBSTRUCTIVE.PULMONARY.DISEASE.WITH.ACUTE.LOWER.RESP.INFECTION",7,0.02,28,"Respiratory disease","Distinct condition"
28,43,2,"TIOTROPIUM_PDR.FOR.INH.CAP.18MCG",6,0.01,28,"Respiratory disease","Distinct condition"
28,43,3,"J449_CHRONIC.OBSTRUCTIVE.PULMONARY.DISEASE..UNSPECIFIED",5,0.01,28,"Respiratory disease","Distinct condition"
28,43,4,"L97X_ULCER.OF.LOWER.LIMB..NOT.ELSEWHERE.CLASSIFIED",5,0.01,28,"Respiratory disease","Distinct condition"
28,43,5,"INADINE.9.5CM.X.9.5.CM.POVIDONE.IODINE.FABRIC.DRESS.STER",5,0.01,28,"Respiratory disease","Distinct condition"
37,42,1,"CETIRIZINE.HCL_TAB.10MG",9,0.01,37,"Mixed common prescriptions: skin, stomach, sinuses","Co-occurring conditions"
37,42,2,"MOMETASONE.FUR_AQ.N.SPY.50MCG..140.D.",8,0.02,37,"Mixed common prescriptions: skin, stomach, sinuses","Co-occurring conditions"
37,42,3,"FYBOGEL_GRAN.SACH.3.5G.ORANGE.G.F.S.F",6,0.01,37,"Mixed common prescriptions: skin, stomach, sinuses","Co-occurring conditions"
37,42,4,"DICYCLOVERINE.HCL_TAB.20MG",5,0.01,37,"Mixed common prescriptions: skin, stomach, sinuses","Co-occurring conditions"
37,42,5,"CIPROFLOXACIN_TAB.500MG",4,0.01,37,"Mixed common prescriptions: skin, stomach, sinuses","Co-occurring conditions"
36,42,1,"FLUCONAZOLE_CAP.150MG",7,0.01,36,"Alcohol, fungal infection & stomach prescriptions","Substance use related"
36,42,2,"CLOTRIMAZOLE_PESS.500MG",7,0.02,36,"Alcohol, fungal infection & stomach prescriptions","Substance use related"
36,42,3,"LOPERAMIDE.HCL_CAP.2MG",6,0.02,36,"Alcohol, fungal infection & stomach prescriptions","Substance use related"
36,42,4,"PREDNISOLONE_TAB.5MG",6,0.02,36,"Alcohol, fungal infection & stomach prescriptions","Substance use related"
36,42,5,"GAVISCON.ADVANCE_LIQ..ANISEED..S.F",6,0.01,36,"Alcohol, fungal infection & stomach prescriptions","Substance use related"
18,42,1,"SALBUTAMOL_INHA.100MCG..200.D..CFF",13,0.04,18,"Mixed allergy, asthma medications","Co-occurring conditions"
18,42,2,"TRIMETHOPRIM_TAB.200MG",6,0.02,18,"Mixed allergy, asthma medications","Co-occurring conditions"
18,42,3,"NITROFURANTOIN_CAP.50MG",6,0.02,18,"Mixed allergy, asthma medications","Co-occurring conditions"
18,42,4,"CLENIL.MODULITE_INHA.100MCG..200D.",6,0,18,"Mixed allergy, asthma medications","Co-occurring conditions"
18,42,5,"MACRODANTIN_CAP.50MG",6,0.02,18,"Mixed allergy, asthma medications","Co-occurring conditions"
17,41,1,"F102_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.ALCOHOL.DEPENDENCE.SYNDROME",11,0.07,17,"Alcohol dependence and gastritis","Substance use related"
17,41,2,"K210_GASTRO.OESOPHAGEAL.REFLUX.DISEASE.WITH.OESOPHAGITIS",10,0.02,17,"Alcohol dependence and gastritis","Substance use related"
17,41,3,"K861_OTHER.CHRONIC.PANCREATITIS",7,0.02,17,"Alcohol dependence and gastritis","Substance use related"
17,41,4,"K20X_OESOPHAGITIS",5,0.01,17,"Alcohol dependence and gastritis","Substance use related"
17,41,5,"K860_ALCOHOL.INDUCED.CHRONIC.PANCREATITIS",5,0.01,17,"Alcohol dependence and gastritis","Substance use related"
35,38,1,"ASPIRIN.DISPER_TAB.75MG",8,0.01,35,"Heart disease","Distinct condition"
35,38,2,"CLOPIDOGREL_TAB.75MG",6,0.02,35,"Heart disease","Distinct condition"
35,38,3,"GLYCERYL.TRINIT_SUBLING.SPY.400MCG.180D.",6,0.02,35,"Heart disease","Distinct condition"
35,38,4,"I259_CHRONIC.ISCHAEMIC.HEART.DISEASE..UNSPECIFIED",5,0,35,"Heart disease","Distinct condition"
35,38,5,"ADCAL.D3_TAB.CHBLE..TUTTI.FRUTTI.",5,0.02,35,"Heart disease","Distinct condition"
29,38,1,"MST.CONTINUS_TAB.10MG",7,0.02,29,"Morphine, constipation, haemorrhoid treatment","Distinct condition"
29,38,2,"I849_UNSPECIFIED.HAEMORRHOIDS.WITHOUT.COMPLICATION",5,0.01,29,"Morphine, constipation, haemorrhoid treatment","Distinct condition"
29,38,3,"ORAMORPH_ORAL.SOLN.10MG.5ML",5,0.01,29,"Morphine, constipation, haemorrhoid treatment","Distinct condition"
29,38,4,"R194_CHANGE.IN.BOWEL.HABIT",4,0.01,29,"Morphine, constipation, haemorrhoid treatment","Distinct condition"
29,38,5,"ANUSOL.HC_OINT",4,0.01,29,"Morphine, constipation, haemorrhoid treatment","Distinct condition"
12,37,1,"G409_EPILEPSY..UNSPECIFIED",10,0.02,12,"Epilepsy","Distinct condition"
12,37,2,"mc_epilepsy_seizures",5,0.01,12,"Epilepsy","Distinct condition"
12,37,3,"NICORETTE_QUICKMIST.OROMUCOSAL.P.SPY",5,0.02,12,"Epilepsy","Distinct condition"
12,37,4,"NICORETTE.INVISI_PATCH.25MG.16HRS",4,0.01,12,"Epilepsy","Distinct condition"
12,37,5,"NICOTINELL.TTS.30_PATCH.21MG.24HRS",4,0.01,12,"Epilepsy","Distinct condition"
34,35,1,"BROLENE_EYE.DPS.0.1.",5,0.01,34,"Skin cream","Distinct condition"
34,35,2,"DIPROBASE_CRM",5,0.01,34,"Skin cream","Distinct condition"
34,35,3,"DERMOL.600_BATH.EMOLLIENT",5,0.01,34,"Skin cream","Distinct condition"
34,35,4,"EUMOVATE_CRM.0.05.",4,0.01,34,"Skin cream","Distinct condition"
34,35,5,"DOVOBET_OINT.0.005..0.05.",4,0,34,"Skin cream","Distinct condition"
11,35,1,"R11X_NAUSEA.AND.VOMITING",7,0.01,11,"Diabetes","Distinct condition"
11,35,2,"T810_HAEMORRHAGE.AND.HAEMATOMA.COMPLICATING.A.PROCEDURE.NEC",6,0.01,11,"Diabetes","Distinct condition"
11,35,3,"METFORMIN.HCL_TAB.500MG",6,0.01,11,"Diabetes","Distinct condition"
11,35,4,"R104_OTHER.AND.UNSPECIFIED.ABDOMINAL.PAIN",5,0.01,11,"Diabetes","Distinct condition"
11,35,5,"mc_diabetes",4,0,11,"Diabetes","Distinct condition"
5,32,1,"THIAMINE.HCL_TAB.100MG",11,0.07,5,"Alcohol treatment and detoxification","Substance use related"
5,32,2,"chnd_alcohol_services",8,0.01,5,"Alcohol treatment and detoxification","Substance use related"
5,32,3,"aa_vitamin_supplements",7,0.02,5,"Alcohol treatment and detoxification","Substance use related"
5,32,4,"VIT.B.CO.STRONG_TAB",6,0.03,5,"Alcohol treatment and detoxification","Substance use related"
5,32,5,"CHLORDIAZEPOX.HCL_CAP.10MG",6,0.01,5,"Alcohol treatment and detoxification","Substance use related"
25,31,1,"PREGABALIN_CAP.150MG",6,0.01,25,"Pregabalin, Duloxetine, Neuropathic pain","Distinct condition"
25,31,2,"PREGABALIN_CAP.200MG",5,0.01,25,"Pregabalin, Duloxetine, Neuropathic pain","Distinct condition"
25,31,3,"DULOXETINE.HCL_CAP.G.R.60MG",4,0.01,25,"Pregabalin, Duloxetine, Neuropathic pain","Distinct condition"
25,31,4,"LYRICA_CAP.150MG",4,0.01,25,"Pregabalin, Duloxetine, Neuropathic pain","Distinct condition"
25,31,5,"LYRICA_CAP.300MG",4,0,25,"Pregabalin, Duloxetine, Neuropathic pain","Distinct condition"
49,5,1,"SALBUTAMOL_INHA.200MCG..100D.",2,0,49,"Asthma inhalers","Distinct condition"
49,5,2,"SALBUTAMOL_PDR.FOR.INH.200MCG..60.D.",2,0,49,"Asthma inhalers","Distinct condition"
49,5,3,"CONVATEC_ORABASE.PASTE.30G",2,0,49,"Asthma inhalers","Distinct condition"
49,5,4,"NASEPTIN_CRM",1,0,49,"Asthma inhalers","Distinct condition"
49,5,5,"VENTOLIN_ACCUHALER.200MCG..60.D.",1,0,49,"Asthma inhalers","Distinct condition"
24,5,1,"I469_CARDIAC.ARREST..UNSPECIFIED",3,0,24,"Cardiac arrest","Distinct condition"
24,5,2,"td_lignocaine",2,0.01,24,"Cardiac arrest","Distinct condition"
24,5,3,"G931_ANOXIC.BRAIN.DAMAGE..NOT.ELSEWHERE.CLASSIFIED",2,0,24,"Cardiac arrest","Distinct condition"
24,5,4,"I460_CARDIAC.ARREST.WITH.SUCCESSFUL.RESUSCITATION",1,0,24,"Cardiac arrest","Distinct condition"
24,5,5,"PARACET_ORAL.SUSP.250MG.5ML.S.F",1,0,24,"Cardiac arrest","Distinct condition"
53,4,1,"SUBOXONE_TAB.SUBLING.8MG.2MG",3,0,53,"Suboxone","Substance use related"
53,4,2,"SUBUTEX_TAB.SUBLING.8MG",2,0,53,"Suboxone","Substance use related"
53,4,3,"SUBOXONE_TAB.SUBLING.2MG.0.5MG",1,0,53,"Suboxone","Substance use related"
53,4,4,"SUBUTEX_TAB.SUBLING.2MG",1,0,53,"Suboxone","Substance use related"
53,4,5,NA,NA,NA,53,"Suboxone","Substance use related"
43,4,1,"LEVOTHYROX.SOD_TAB.100MCG",3,0,43,"Thyroid condition","Distinct condition"
43,4,2,"LEVOTHYROX.SOD_TAB.50MCG",3,0,43,"Thyroid condition","Distinct condition"
43,4,3,"E039_HYPOTHYROIDISM..UNSPECIFIED",2,0,43,"Thyroid condition","Distinct condition"
43,4,4,"LEVOTHYROX.SOD_TAB.25MCG",2,0,43,"Thyroid condition","Distinct condition"
43,4,5,NA,NA,NA,43,"Thyroid condition","Distinct condition"
21,4,1,"CLOMIPRAMINE.HCL_CAP.50MG",3,0,21,"Antidepressants and OCD","Co-occurring conditions"
21,4,2,"pc_obsessive_compulsive_disorder",1,0,21,"Antidepressants and OCD","Co-occurring conditions"
21,4,3,"td_anti_depressants",1,0,21,"Antidepressants and OCD","Co-occurring conditions"
21,4,4,"CLOMIPRAMINE.HCL_CAP.25MG",1,0,21,"Antidepressants and OCD","Co-occurring conditions"
21,4,5,NA,NA,NA,21,"Antidepressants and OCD","Co-occurring conditions"
56,3,1,"VENLALIC.XL_TAB.225MG",2,0,56,"Venlafaxine antidepressant","Distinct condition"
56,3,2,"XYLOMET.HCL_NSL.DPS.0.1.",1,0,56,"Venlafaxine antidepressant","Distinct condition"
56,3,3,"VENLAFAXINE_TAB.225MG.M.R",1,0,56,"Venlafaxine antidepressant","Distinct condition"
56,3,4,NA,NA,NA,56,"Venlafaxine antidepressant","Distinct condition"
56,3,5,NA,NA,NA,56,"Venlafaxine antidepressant","Distinct condition"
45,3,1,"N508_OTHER.SPECIFIED.DISORDERS.OF.MALE.GENITAL.ORGANS",2,0,45,"Orchitis","Distinct condition"
45,3,2,"N459_ORCHITIS..EPIDIDYMITIS.AND.EPIDIDYMO.ORCHITIS.WITHOUT.ABSCESS",1,0,45,"Orchitis","Distinct condition"
45,3,3,"AZITHROMYCIN_TAB.500MG",1,0,45,"Orchitis","Distinct condition"
45,3,4,NA,NA,NA,45,"Orchitis","Distinct condition"
45,3,5,NA,NA,NA,45,"Orchitis","Distinct condition"
23,3,1,"DOSULEPIN.HCL_TAB.75MG",2,0,23,"Antidepressant Dosulepin","Distinct condition"
