"","Subsystem","Number of factors","variable","factor","degree","betweenness"
"1","39",51,1,"X619_SELF.POISON.BY.ANTIEPILEP.ANTIPARK.PSYCHOTROP.DRUGS..IN.UNSPECIFIED.PLACE","12","0.03"
"102","39",51,2,"X610_INTENT.SELF.POISONING.BY.ANTIEPILEP.ANTIPARKISM..PSYCHOTROP.DRUG.AT.HOME","11","0.03"
"203","39",51,3,"T424_POISONING.BY.BENZODIAZEPINES","10","0.01"
"304","39",51,4,"T401_POISONING.BY.HEROIN","9","0.03"
"405","39",51,5,"T393_POISONING.BY.OTHER.NONSTEROIDAL.ANTI.INFLAMMATORY.DRUGS..NSAID.","8","0.02"
"2","2",43,1,"lw_own_home","14","0.01"
"103","2",43,2,"cp_methadone","13","0.03"
"204","2",43,3,"cp_not_currently_prescribed_a_substitute_drug","13","0.01"
"305","2",43,4,"lw_homeless_accomodation","11","0"
"406","2",43,5,"td_etizolam","11","0.01"
"5","33",41,1,"S099_UNSPECIFIED.INJURY.OF.HEAD","13","0.02"
"106","33",41,2,"Y049_ASSAULT.BY.BODILY.FORCE.IN.UNSPECIFIED.PLACE","12","0.02"
"207","33",41,3,"X599_EXPOSURE.TO.UNSPECIFIED.FACTOR.IN.UNSPECIFIED.PLACE","10","0.01"
"308","33",41,4,"Y009_ASSAULT.BY.BLUNT.OBJECT.IN.UNSPECIFIED.PLACE","10","0.01"
"409","33",41,5,"Y044_ASSAULT.BY.BODILY.FORCE.IN.ROAD","9","0.01"
"4","14",41,1,"I802_PHLEBITIS.AND.THROMBOPHLEBITIS.OF.OTHER.DEEP.VESSELS.OF.LOWER.EXTREMITIES","12","0.06"
"105","14",41,2,"W279_CONTACT.WITH.NONPOWERED.HAND.TOOL.IN.UNSPECIFIED.PLACE","9","0.03"
"206","14",41,3,"Z867_PERSONAL.HISTORY.OF.DISEASES.OF.THE.CIRCULATORY.SYSTEM","9","0.03"
"307","14",41,4,"L024_CUTANEOUS.ABSCESS..FURUNCLE.AND.CARBUNCLE.OF.LIMB","7","0.01"
"408","14",41,5,"L022_CUTANEOUS.ABSCESS..FURUNCLE.AND.CARBUNCLE.OF.TRUNK","7","0.01"
"3","4",41,1,"chnd_mental_health_services","7","0.02"
"104","4",41,2,"OLANZAPINE_TAB.10MG","7","0.01"
"205","4",41,3,"PROPRANOLOL.HCL_CAP.80MG.M.R","7","0.02"
"306","4",41,4,"pc_anxiety","6","0.01"
"407","4",41,5,"pc_bi_polar_disorder","6","0.01"
"7","8",37,1,"GABAPENTIN_CAP.300MG","9","0.02"
"108","8",37,2,"op_mirtazapine","8","0.01"
"209","8",37,3,"td_gabapentin","8","0.01"
"310","8",37,4,"td_pregabalin","8","0.01"
"411","8",37,5,"op_amitriptyline","7","0.01"
"6","1",37,1,"cha_prison_healthcare","10","0.01"
"107","1",37,2,"cha_gp","9","0.02"
"208","1",37,3,"cha_a_e","8","0.01"
"309","1",37,4,"sod_naloxone_take_home","7","0.01"
"410","1",37,5,"cha_psychiatric_services","7","0.01"
"9","29",33,1,"PREGABALIN_CAP.150MG","6","0.01"
"110","29",33,2,"PREGABALIN_CAP.200MG","5","0.01"
"211","29",33,3,"DULOXETINE.HCL_CAP.G.R.60MG","4","0.01"
"312","29",33,4,"LYRICA_CAP.150MG","4","0.01"
"413","29",33,5,"LYRICA_CAP.300MG","4","0"
"8","21",33,1,"SALBUTAMOL_INHA.100MCG..200.D..CFF","13","0.04"
"109","21",33,2,"AMOXICILLIN_CAP.500MG","6","0.02"
"210","21",33,3,"OMEPRAZOLE_CAP.E.C.20MG","6","0.04"
"311","21",33,4,"PREDNISOLONE_TAB.5MG","6","0.02"
"412","21",33,5,"CLENIL.MODULITE_INHA.100MCG..200D.","6","0"
"10","6",32,1,"THIAMINE.HCL_TAB.100MG","11","0.07"
"111","6",32,2,"chnd_alcohol_services","8","0.01"
"212","6",32,3,"aa_no_known_treatment","7","0.02"
"313","6",32,4,"aa_vitamin_supplements","7","0.02"
"414","6",32,5,"F1025_ALCOHOL.DEPENDENCE.SYNDROME..CONTINUOUS.USE","6","0.01"
"11","40",31,1,"F102_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.ALCOHOL.DEPENDENCE.SYNDROME","11","0.07"
"112","40",31,2,"FLUCONAZOLE_CAP.150MG","7","0.01"
"213","40",31,3,"CLOTRIMAZOLE_PESS.500MG","7","0.02"
"314","40",31,4,"LOPERAMIDE.HCL_CAP.2MG","6","0.02"
"415","40",31,5,"GAVISCON.ADVANCE_LIQ..ANISEED..S.F","6","0.01"
"13","50",30,1,"ASPIRIN.DISPER_TAB.75MG","8","0.01"
"114","50",30,2,"CLOPIDOGREL_TAB.75MG","6","0.02"
"215","50",30,3,"GLYCERYL.TRINIT_SUBLING.SPY.400MCG.180D.","6","0.02"
"316","50",30,4,"I259_CHRONIC.ISCHAEMIC.HEART.DISEASE..UNSPECIFIED","5","0"
"417","50",30,5,"ADCAL.D3_TAB.CHBLE..TUTTI.FRUTTI.","5","0.02"
"12","37",30,1,"QUETIAPINE_TAB.25MG","6","0.01"
"113","37",30,2,"QUETIAPINE_TAB.200MG","6","0.01"
"214","37",30,3,"Z915_PERSONAL.HISTORY.OF.SELF.HARM","5","0.01"
"315","37",30,4,"QUETIAPINE_TAB.100MG","5","0.01"
"416","37",30,5,"QUETIAPINE_TAB.300MG","5","0.01"
"15","53",29,1,"DOMPERIDONE_TAB.10MG","7","0.02"
"116","53",29,2,"FYBOGEL_GRAN.SACH.3.5G.ORANGE.G.F.S.F","6","0.01"
"217","53",29,3,"PEPTAC_LIQ..PEPPERMINT..S.F","5","0.02"
"318","53",29,4,"MUCODYNE_CAP.375MG","5","0.01"
"419","53",29,5,"CIPROFLOXACIN_TAB.250MG","4","0.01"
"14","51",29,1,"FLUCLOX.SOD_CAP.500MG","7","0.02"
"115","51",29,2,"SAVLON_ANTIS.CRM","5","0.01"
"216","51",29,3,"DIPROBASE_CRM","5","0.01"
"317","51",29,4,"PHENOXYMETHYLPENICILLIN.POT_TAB.250MG","5","0.01"
"418","51",29,5,"METRONIDAZOLE_TAB.400MG","4","0.01"
"16","42",27,1,"X999_ASSAULT.BY.SHARP.OBJECT.IN.UNSPECIFIED.PLACE","14","0.02"
"117","42",27,2,"X789_INTENT.SELF.HARM.BY.SHARP.OBJECT.IN.UNSPECIFIED.PLACE","9","0.02"
"218","42",27,3,"S610_OPEN.WOUND.OF.FINGER.S..WITHOUT.DAMAGE.TO.NAIL","6","0.01"
"319","42",27,4,"S519_OPEN.WOUND.OF.FOREARM..PART.UNSPECIFIED","5","0.01"
"420","42",27,5,"S619_OPEN.WOUND.OF.WRIST.AND.HAND..PART.UNSPECIFIED","5","0"
"19","55",26,1,"ORLISTAT_CAP.120MG","5","0.01"
"120","55",26,2,"DIORALYTE_PDR.SACH..BLKCURRANT.","5","0.02"
"221","55",26,3,"DIHYDROCODEINE.TART_TAB.120MG.M.R","4","0.01"
"322","55",26,4,"RAMIPRIL_CAP.5MG","4","0.01"
"423","55",26,5,"DIHYDROCODEINE.TART_TAB.90MG.M.R","3","0.01"
"18","47",26,1,"K703_ALCOHOLIC.CIRRHOSIS.OF.LIVER","8","0.02"
"119","47",26,2,"K766_PORTAL.HYPERTENSION","6","0.02"
"220","47",26,3,"BROLENE_EYE.DPS.0.1.","5","0.01"
"321","47",26,4,"LYMECYCLINE_CAP.408MG","4","0"
"422","47",26,5,"REMEDEINE.FTE_TAB","4","0.01"
"17","7",26,1,"idu_heroin","11","0.02"
"118","7",26,2,"idu_diazepam_non_prescribed","10","0.01"
"219","7",26,3,"cha_statutory_addiction_service","9","0.01"
"320","7",26,4,"idu_dihydrocodeine","8","0.01"
"421","7",26,5,"idu_cannabis","7","0"
"22","67",25,1,"CETIRIZINE.HCL_TAB.10MG","9","0.01"
"123","67",25,2,"MOMETASONE.FUR_AQ.N.SPY.50MCG..140.D.","8","0.02"
"224","67",25,3,"MOMETASONE.FUR_CRM.0.1.","4","0.01"
"325","67",25,4,"CHLORPHENAMINE.MAL_TAB.4MG","3","0"
"426","67",25,5,"BETNOVATE_CRM.0.1.","3","0.01"
"21","26",25,1,"R11X_NAUSEA.AND.VOMITING","7","0.01"
"122","26",25,2,"T810_HAEMORRHAGE.AND.HAEMATOMA.COMPLICATING.A.PROCEDURE.NEC","6","0.01"
"223","26",25,3,"R104_OTHER.AND.UNSPECIFIED.ABDOMINAL.PAIN","5","0.01"
"324","26",25,4,"T814_INFECTION.FOLLOWING.A.PROCEDURE..NOT.ELSEWHERE.CLASSIFIED","4","0"
"425","26",25,5,"Y838_ABNORMAL.REACTION.TO.OR.LATER.COMPLICATION.OF.OTHER.SURGICAL.PROCEDURES","3","0"
"20","23",25,1,"op_diazepam","9","0.02"
"121","23",25,2,"td_diazepam","9","0.02"
"222","23",25,3,"td_nordiazepam","8","0.01"
"323","23",25,4,"td_dihydrocodeine","7","0.01"
"424","23",25,5,"DIAZEPAM_TAB.5MG","7","0.02"
"23","30",24,1,"SIMPLE_LINCT.S.F","7","0.01"
"124","30",24,2,"TRAZODONE.HCL_CAP.50MG","4","0"
"225","30",24,3,"ACICLOVIR_CRM.5.","4","0"
"326","30",24,4,"BETNOVATE_SCALP.APPLIC.0.1.","4","0"
"427","30",24,5,"TRAZODONE.HCL_TAB.150MG","4","0"
"24","38",23,1,"CHLORPROMAZINE.HCL_TAB.50MG","6","0.01"
"125","38",23,2,"FUROSEMIDE_TAB.40MG","5","0.01"
"226","38",23,3,"SPIRONOL_TAB.100MG","5","0"
"327","38",23,4,"CHLORPROMAZINE.HCL_TAB.25MG","5","0.02"
"428","38",23,5,"T427_POISONING.BY.ANTIEPILEPTIC...SEDATIVE.HYPNOTIC.DRUGS..UNSPEC","4","0.01"
"26","48",22,1,"FERR.SULF_TAB.200MG","6","0.01"
"127","48",22,2,"I849_UNSPECIFIED.HAEMORRHOIDS.WITHOUT.COMPLICATION","5","0.01"
"228","48",22,3,"D509_IRON.DEFICIENCY.ANAEMIA..UNSPECIFIED","5","0.02"
"329","48",22,4,"FERR.FUMAR_TAB.210MG","5","0.01"
"430","48",22,5,"FOLIC.ACID_TAB.5MG","4","0.01"
"25","45",22,1,"J440_CHRONIC.OBSTRUCTIVE.PULMONARY.DISEASE.WITH.ACUTE.LOWER.RESP.INFECTION","7","0.02"
"126","45",22,2,"TIOTROPIUM_PDR.FOR.INH.CAP.18MCG","6","0.01"
"227","45",22,3,"J449_CHRONIC.OBSTRUCTIVE.PULMONARY.DISEASE..UNSPECIFIED","5","0.01"
"328","45",22,4,"SALBUTAMOL_INH.SOLN.2.5MG.2.5ML.UD","5","0"
"429","45",22,5,"J441_CHRONIC.OBSTRUCTIVE.PULMONARY.DISEASE.WITH.ACUTE.EXACERBATION..UNSPECIFIED","4","0.01"
"30","69",21,1,"METHADONE.HCL_MIX.1MG.1ML","10","0.09"
"131","69",21,2,"PARACET_TAB.500MG","7","0.03"
"232","69",21,3,"CO.CODAMOL_TAB.30MG.500MG","6","0.01"
"333","69",21,4,"DICLOFENAC.SOD_TAB.E.C.50MG","5","0.02"
"434","69",21,5,"IBUPROFEN_TAB.400MG","5","0.02"
"29","41",21,1,"CHLORAMPHEN_EYE.DPS.0.5.","5","0.01"
