"","Subsystem","Number of factors","variable","factor","degree","betweenness"
"1","4",10,1,"Peer relationships","6","0.02"
"16","4",10,2,"Drug type","6","0.03"
"31","4",10,3,"Exposure to drugs","5","0.03"
"46","4",10,4,"Public versus private drug taking","5","0.02"
"61","4",10,5,"Knowledge of drugs and risk among general public","4","0.03"
"2","7",9,1,"Prevalence of stigmatisingnorms around drugs","18","0.26"
"17","7",9,2,"Poor treatment of PWUD","4","0.01"
"32","7",9,3,"Occurrence of stigmatising language and behaviour","4","0"
"47","7",9,4,"Negative public perceptionsof PWUD","3","0"
"62","7",9,5,"Value placed on peer workers","3","0.01"
"5","10",8,1,"Knowledge of drugs and risk among people who use drugs","6","0.06"
"20","10",8,2,"Attitude to risk","6","0.03"
"35","10",8,3,"Risk of harm occurring while using drugs","5","0.02"
"50","10",8,4,"Poly drug use","5","0.02"
"65","10",8,5,"Education on substance use and associated harms","3","0"
"4","9",8,1,"Trusting community relationships","12","0.15"
"19","9",8,2,"Trusting family relationships","7","0.02"
"34","9",8,3,"Recovery capital","5","0.02"
"49","9",8,4,"Practical support","3","0"
"64","9",8,5,"Community hubs","1","0"
"3","2",8,1,"Attending services","9","0.05"
"18","2",8,2,"Retention in services","6","0.02"
"33","2",8,3,"Collaboration between services","5","0.01"
"48","2",8,4,"Missed appointments","5","0.01"
"63","2",8,5,"Treatment expectations","4","0.01"
"7","5",7,1,"Policy making environment: health focussed vs criminal justice","11","0.09"
"22","5",7,2,"Availability of services","5","0.02"
"37","5",7,3,"Harm reductioninterventions","4","0.01"
"52","5",7,4,"Relative value of professional versus peer evidence","3","0.01"
"67","5",7,5,"Lived experience representation in policy","3","0"
"6","1",7,1,"Quality of treatment planning","6","0.01"
"21","1",7,2,"Service Quality","6","0.03"
"36","1",7,3,"Workforce development","4","0.02"
"51","1",7,4,"Quality of patient/servicerelationship","4","0.01"
"66","1",7,5,"Pressure on services","3","0"
"10","13",6,1,"Control and regularityof substance use","10","0.1"
"25","13",6,2,"Continueduse of drugs","7","0.04"
"40","13",6,3,"Drug tolerance","4","0.02"
"55","13",6,4,"Medication","3","0.01"
"70","13",6,5,"Drug use as functionalto person's life, e.g. self-medication","3","0"
"9","12",6,1,"Initiation of drug use","8","0.04"
"24","12",6,2,"Physical health","8","0.03"
"39","12",6,3,"Drug use as coping mechanism","4","0.02"
"54","12",6,4,"Age","4","0.01"
"69","12",6,5,"Frailty","3","0"
"8","6",6,1,"Criminalisationof drugs","12","0.11"
"23","6",6,2,"Availability of drugs","7","0.03"
"38","6",6,3,"Cost of drugs","3","0"
"53","6",6,4,"Profit in illicit drugs trade","3","0"
"68","6",6,5,"Exploitation ","2","0.01"
"14","15",5,1,"Drug related death","7","0.03"
"29","15",5,2,"Drug toxicity","3","0.01"
"44","15",5,3,"Access to safe supply of drugs","3","0.01"
"59","15",5,4,"Drug poisoning","3","0.01"
"74","15",5,5,"Near fatal overdose","2","0"
"13","14",5,1,"Feeling safe","6","0.04"
"28","14",5,2,"Homelessness","6","0.03"
"43","14",5,3,"Housing Policy","3","0.01"
"58","14",5,4,"Quality of housing","3","0"
"73","14",5,5,"Risk ofcrime victimisation","3","0"
"12","8",5,1,"Poverty","14","0.12"
"27","8",5,2,"Contact with criminaljustice system","9","0.04"
"42","8",5,3,"Traumatising experiences","6","0.01"
"57","8",5,4,"Social inclusion","5","0.02"
"72","8",5,5,"Social Security Policy","2","0"
"11","3",5,1,"Positive future aspirations","11","0.09"
"26","3",5,2,"Internalised stigma","4","0.02"
"41","3",5,3,"Employment opportunities","3","0"
"56","3",5,4,"Self worth","3","0"
"71","3",5,5,"Quality of life","3","0"
"15","11",3,1,"Mental health and wellbeing","17","0.17"
"30","11",3,2,"Heart & lung health","4","0.01"
"45","11",3,3,"Sedatives","3","0"
"60","11",3,4,"NA","NA","NA"
"75","11",3,5,"NA","NA","NA"
